year,royal_jelly_yuan_per_kg,pollen_yuan_per_kg,propolis_yuan_per_kg,beeswax_yuan_per_kg,bee_venom_yuan_per_g,honey_production_tonnes,bee_colonies,beekeeper_households,honey_yield_kg_per_colony,export_tonnes,export_value_10000usd,export_unit_price_usd_per_kg,price_acacia_yuan_per_tonne,price_rape_yuan_per_tonne,price_linden_yuan_per_tonne,price_lychee_yuan_per_tonne,royal_jelly_farmgate_yuan_per_kg,pollen_rape_farmgate_yuan_per_kg,pollen_tea_farmgate_yuan_per_kg,propolis_raw_farmgate_yuan_per_kg,us_honey_price_usd_per_kg,income_total_yuan,cost_total_yuan,profit_yuan,honey_income_pct,pollination_income_pct,retail_to_purchase_ratio,data_note
2000,80,15,60,15,5,251839,7494970,269444,33.6,98800,9400,0.95,,,,,75,16.5,,40,,53000,27000,26000,66.0,3.8,,
2001,85,16,65,16,5,251600,7598410,265946,33.1,106700,9800,0.92,,,,,,,,,,,,,,,,
2002,90,17,70,17,6,267830,7699630,263158,34.8,123400,11000,0.89,,,,,,,,,,,,,,,,
2003,95,18,75,18,6,288786,7900720,260513,36.6,140200,12500,0.89,,,,,,,,,,,,,,,,
2004,100,20,80,20,7,297987,8101530,258000,36.8,134800,11800,0.88,,,,,,,,,,,,,,,,
2005,110,22,90,22,7,293200,8338930,256098,35.2,142600,12500,0.88,5850,4150,7150,,90,22.5,,50,2.50,53000,27000,26000,66.0,3.8,,
2006,120,24,100,25,8,337578,8480750,254762,39.8,157200,13500,0.86,11000,4750,,,100,,,,,2.60,57700,28500,29200,65.9,3.8,,
2007,130,26,110,28,8,354000,8573050,253488,41.3,165400,14200,0.86,9000,4500,,,110,,,,,2.65,62300,30500,31800,65.8,4.0,,
2008,140,28,120,30,9,407219,8771200,254545,46.4,162100,15500,0.96,12000,5000,,,120,,,,60,2.70,68100,33500,34600,66.1,4.1,,
2009,150,30,130,32,10,402000,8827150,261364,45.5,170200,16200,0.95,14000,5500,,,135,32.5,,70,2.75,72400,35500,36900,66.3,4.1,,
2010,160,32,140,35,10,409149,8897730,268182,46.0,175600,17800,1.01,16000,6000,,11000,140,32.5,,85,2.80,78900,39000,39900,65.9,4.4,3.2,
2011,170,35,150,38,11,446089,8953870,268889,49.8,171900,18200,1.06,17500,6500,11000,11000,150,35,,100,2.90,87000,43000,44000,66.7,4.6,3.3,
2012,180,38,160,40,12,462203,8987204,269565,51.4,178200,19500,1.09,18500,6500,12000,12000,160,37.5,,120,2.95,93000,45600,47400,66.7,4.8,3.4,
2013,190,40,170,42,12,436600,9020000,270213,48.4,182500,20500,1.12,19500,6250,12000,13500,170,38.5,44,140,3.00,96200,47500,48700,66.5,5.0,3.4,
2014,200,42,180,45,13,474786,9075000,270833,52.3,186800,21800,1.17,17500,6000,13000,16000,107.5,29,37.5,283.5,3.10,104000,51000,53000,67.3,5.0,3.5,
2015,210,45,200,48,14,473200,9129857,277083,51.8,179600,21500,1.20,16000,7000,14000,17500,115,31,,260,3.20,112000,55000,57000,67.0,5.4,3.5,
2016,220,48,210,50,15,562875,9184254,277551,61.3,173200,21000,1.21,14500,10000,13500,19000,125,33,,240,3.15,119100,54900,64200,67.2,5.5,3.6,
2017,230,50,220,52,16,542544,9238330,278000,58.7,168900,20500,1.21,17000,8000,14000,14000,135,35,45,220,3.10,103500,52500,51000,65.7,6.8,3.6,
2018,240,52,230,55,17,457182,9291246,284000,49.2,172800,21200,1.23,20500,8750,14000,11000,140,33,44,205,3.05,109300,55500,53800,65.9,6.9,3.7,
2019,250,55,240,58,18,446961,9348707,284314,47.8,165400,19800,1.20,15000,8000,13500,13000,150,32.5,43,200,3.00,117700,59500,58200,66.3,6.8,3.7,
2020,260,55,250,60,20,466487,9360311,284615,49.8,152300,18500,1.21,12500,7000,12500,12000,140,31,41,190,2.95,128000,65000,63000,66.4,6.6,3.8,
2021,270,58,260,62,22,472700,9391575,290385,50.3,158700,19800,1.25,11500,7500,12000,14000,130,30,39,175,3.10,135500,68500,67000,66.4,7.0,3.8,
2022,280,60,270,65,25,474107,9416856,290566,50.3,162500,21500,1.32,10000,7000,11500,12000,120,30,38,160,3.01,143100,73300,69800,66.4,7.0,3.9,
2023,290,62,280,68,28,463500,9490000,296226,48.8,164200,23800,1.45,9500,6750,12000,11000,130,31,39,170,2.55,149600,79000,70600,65.5,8.0,3.9,
2024,300,65,300,70,30,444800,9550000,294444,46.6,169600,26486,1.56,9000,6750,11500,12000,130,31,39,165,2.69,146200,78200,68000,65.0,8.9,4.0,
2025,310,68,310,72,32,500000,9600000,296296,52.1,175500,26000,1.48,9500,7250,12000,12000,135,31,39,170,2.80,156000,82100,73900,64.1,9.6,4.0,部分数据为行业预估
