year,农药使用量_万吨,化学农药原药产量_万吨,果园面积_千公顷,农作物总播种面积_千公顷,果园面积占比_百分比,单位面积农药使用量_千克每公顷
2000,132.2,64.77,8931.58,156300.0,5.71,8.46
2001,134.7,78.72,9042.55,155708.0,5.81,8.65
2002,138.5,92.90,9097.87,154636.0,5.88,8.96
2003,142.1,76.72,9436.52,152415.0,6.19,9.32
2004,145.3,86.96,9768.18,153553.0,6.36,9.46
2005,148.0,114.73,10034.80,155488.0,6.45,9.52
2006,152.8,138.46,10122.56,157021.0,6.45,9.73
2007,156.3,176.48,10119.50,153464.0,6.59,10.18
2008,159.5,190.20,10220.71,156266.0,6.54,10.21
2009,162.2,208.92,10454.39,158639.0,6.59,10.22
2010,165.1,234.20,10681.02,160675.0,6.65,10.28
2011,168.5,264.80,10808.06,160360.38,6.74,10.51
2012,171.8,354.90,10989.70,162071.25,6.78,10.60
2013,173.4,319.00,11043.33,163702.25,6.75,10.59
2014,175.0,374.40,11607.66,165183.32,7.03,10.59
2015,178.3,374.10,11212.20,166829.28,6.72,10.69
2016,174.0,377.80,10916.64,166939.04,6.54,10.42
2017,165.5,294.10,11148.62,166331.91,6.70,9.95
2018,155.2,208.30,11874.85,165902.38,7.16,9.35
2019,145.6,225.39,12276.68,165930.66,7.40,8.77
2020,140.8,214.80,12646.28,167487.14,7.55,8.41
2021,136.5,249.80,12807.99,168695.13,7.59,8.09
2022,132.8,249.70,13009.53,169990.92,7.65,7.81
2023,130.0,267.11,12738.06,171624.47,7.42,7.57
