category,indicator,year,value,unit,source,notes
蜂群数量,国内统计蜂群,2024,1442,万群,《中国蜂业》2024年第12期,国内口径：含所有蜂种，约1442万群
蜂蜜产量,全球占比,2024,24.84,%,农小蜂报告,中国为全球最大产蜜国
蜂蜜出口_省份,安徽,2025,4.61,万吨,海关总署,占全国26.24%（第一）
蜂蜜出口_省份,湖北,2025,2.92,万吨,海关总署,第二
蜂蜜出口_省份,山东,2025,2.86,万吨,海关总署,第三
蜂蜜出口_目的地,英国,2025,4.20,万吨,海关总署,第一
蜂蜜出口_目的地,日本,2025,3.35,万吨,海关总署,第二
蜂蜜出口_目的地,比利时,2025,2.54,万吨,海关总署,第三
收购价格_2025,油菜蜜收购价,2025,5500-6000,元/吨,蜂产品协会,较2024年下降
收购价格_2025,荆条蜜收购价,2025,7000-7500,元/吨,蜂产品协会,较2024年下降
收购价格_2025,洋槐蜜收购价,2025,8000-10000,元/吨,蜂产品协会,持平
收购价格_2025,椴树蜜收购价,2025,8000-10000,元/吨,蜂产品协会,持平
水果产量_2024,全国水果总产量,2024,33000,万吨,国家统计局,再创历史新高
水果产量_2024,柑橘产量,2024,6791.49,万吨,国家统计局,面积创历史新高
水果产量_2024,苹果产量,2024,5128.51,万吨,国家统计局,面积创近十年新低
水果产量_2024,梨产量,2024,2098.79,万吨,国家统计局,面积创近十年新低
授粉价格,吉林龙井苹果授粉,2024,150-250,元/箱,龙井市2024-06报道,蜂农租蜂授粉
授粉价格,北京昌平樱桃授粉(蜜蜂),2024,125,元/箱,政府釆购项目,7500只/箱
授粉价格,北京昌平草莓授粉(蜜蜂),2024,215,元/箱,政府釆购项目,7500只/箱
授粉价格,北京昌平大棚授粉(熊蜂),2024,180,元/箱,政府釆购项目,70只+/箱
授粉价格,广西龙州推广补贴,2024,75,元/群,龙州政府补贴,6448群获补贴
授粉价格,新疆昌吉熊蜂授粉,2024,500,元/箱,政府采购,100头+/箱
养蜂成本,白糖饲料价格,2024,6000-6500,元/吨,中国蜂业,约5-6元/kg
养蜂成本,花粉饲料价格,2024,15-30,元/kg,中国蜂业,视种类和质量
养蜂成本,运输成本_转地,2024,8.5,万元/年/车,中国蜂业,188群/车，燃油1.5元/km
蜂产业趋势,产值,2023,500+,亿元,中国蜂业,蜂产品年产值500亿元以上
蜂产业趋势,人均消费量,2024,50,克/年,中国蜂业,远低于欧美1500克
