year,new_registrations,total_enterprises,yoy_growth_pct,new_reg_yoy_pct,cancelled_annual,net_increase,honey_processing_enterprises,processing_pct_of_total,data_note,source
2010,1200,12000,0.0,0.0,,,2000,16.67,总企业数和新注册为企查查工商注册数据(四舍五入至百位); 加工企业数为中国蜂产品协会"约2000余家"(本表取2000),Qichacha
2011,1500,13200,10.0,25.0,300,1200,2252,17.06,总企业数和新注册为企查查数据(四舍五入); 注销数为推算值; 加工企业数基于比例趋势估算,Qichacha
2012,1800,14800,12.1,20.0,200,1600,2584,17.46,总企业数和新注册为企查查数据(四舍五入); 注销数为推算值; 加工企业数基于比例趋势估算,Qichacha
2013,2200,16800,13.5,22.2,200,2000,2999,17.85,总企业数和新注册为企查查数据(四舍五入); 注销数为推算值; 加工企业数基于比例趋势估算,Qichacha
2014,3200,19800,17.9,45.5,200,3000,3614,18.25,总企业数和新注册为企查查数据(四舍五入); 注销数为推算值; 加工企业数基于比例趋势估算,Qichacha
2015,4200,23800,20.2,31.2,200,4000,4439,18.65,总企业数和新注册为企查查数据(四舍五入); 注销数为推算值; 加工企业数基于比例趋势估算,Qichacha
2016,4800,28400,19.3,14.3,200,4600,5407,19.04,总企业数和新注册为企查查数据(四舍五入); 注销数为推算值; 加工企业数基于比例趋势估算,Qichacha
2017,3500,31500,10.9,-27.1,400,3100,6124,19.44,总企业数和新注册为企查查数据(四舍五入); 注销数为推算值; 加工企业数基于比例趋势估算,Qichacha
2018,2800,33800,7.3,-20.0,500,2300,6703,19.83,总企业数和新注册为企查查数据(四舍五入); 注销数为推算值; 加工企业数基于比例趋势估算,Qichacha
2019,2200,35200,4.1,-21.4,800,1400,7121,20.23,总企业数和新注册为企查查数据(四舍五入); 注销数为推算值; 加工企业数基于比例趋势估算,Qichacha
2020,1800,37000,5.1,-18.2,0,1800,7629,20.62,总企业数和新注册为企查查数据(四舍五入); 2020年起注销数为0(可能受疫情影响企业注销暂停或数据口径调整); 加工企业数基于比例趋势估算,Qichacha (in operation)
2021,3000,40000,8.1,66.7,0,3000,8408,21.02,总企业数和新注册为企查查数据(四舍五入); 加工企业数基于比例趋势估算,Qichacha
2022,3500,43500,8.8,16.7,0,3500,9318,21.42,总企业数和新注册为企查查数据(四舍五入); 加工企业数基于比例趋势估算,Qichacha
2023,4000,47500,9.2,14.3,0,4000,10360,21.81,总企业数和新注册为企查查数据(四舍五入); 加工企业数基于比例趋势估算,Qichacha
2024,4200,51700,8.8,5.0,0,4200,11483,22.21,总企业数和新注册为企查查数据(四舍五入); 2024年总企业数来源为农小蜂; 加工企业数基于比例趋势估算,Qichacha_est
2025,3600,55302,7.0,-14.3,-2,3602,12503,22.61,总企业数55,302家(农小蜂/企查查截至2025年11月14日,此为精确值不四舍五入); 加工企业数12,503家(农小蜂/企查查精确值); 新注册3,600为估算值; 注销-2为四舍五入差异,Qichacha (Nov 2025)
