# ============================================================
# 中国养蜂业蜂种结构数据集
# 数据来源：学术文献、行业报告、FAO统计
# ============================================================

# ---- 第一部分：全国蜂种比例时间序列 ----
# 中蜂/意蜂占比变化（基于行业综合估算和学术文献）
year,western_bee_pct,chinese_bee_pct,data_source
1949,20,80,"行业文献综合记载（新中国成立时全国50万群，中蜂40万群，意蜂10万群）"
1957,30,70,"《中国养蜂》杂志、农业部全国养蜂工作座谈会记录（全国150万群）"
1960,32,68,"杨冠煌《中华蜜蜂的保护和利用》（中蜂约340万群，占68%）"
1983,67,33,"福建农学院学报1983年第3期《中国的养蜂自然条件和蜜蜂品种》"
2000,70,30,行业报告综合估算
2005,70,30,行业报告综合估算
2010,68,32,行业报告综合估算
2015,65,35,行业报告综合估算
2018,55,45,行业报告综合估算
2020,50,50,行业报告综合估算
2023,46,54,"2023年蜂产业与技术发展报告（中蜂近700万群，意蜂约600万群）"
,,,

# ---- 第二部分：中蜂/意蜂全国养殖规模（绝对数量） ----
# 注：总蜂群数因口径不同差异较大，FAO口径约950万群，国内统计口径约1300万群
year,total_colonies_10k,western_colonies_10k,chinese_colonies_10k,data_source,notes
1949,50,10,40,"行业文献综合记载","新中国成立时数据"
1957,150,45,105,"农业部全国养蜂工作座谈会记录",
1960,500,160,340,"杨冠煌《中华蜜蜂的保护和利用》","中蜂340万群占总数的68%"
1983,600,400,200,"福建农学院学报1983年第3期","意蜂约占2/3，中蜂约占1/3"
2014,1200,684,516,"2014年全国中蜂饲养数量统计","中蜂516万群为各省汇总数；意蜂为推算值"
2023,1300,600,700,"2023年蜂产业与技术发展报告","中蜂近700万群，意蜂约600万群"
,,,

# ---- 第三部分：西方蜜蜂（Apis mellifera）品种构成 ----
breed,latin_name,pct_of_western,primary_region,data_source
意大利蜂（美意系）,Apis mellifera ligustica,55,"全国各地（长江流域为主）","中国蜂业综合"
意大利蜂（澳意系）,Apis mellifera ligustica,15,"北方各省","中国蜂业综合"
意大利蜂（本意系）,Apis mellifera ligustica,12,"全国各地","中国蜂业综合"
东北黑蜂,Apis mellifera ssp.,5,"黑龙江省","中国蜂业综合"
卡尼鄂拉蜂,Apis mellifera carnica,2,"北方地区","中国蜂业综合"
高加索蜂及其他,Apis mellifera caucasica,1,"北方地区","中国蜂业综合"
,,,

# ---- 第四部分：各省中蜂饲养数量（2014年统计） ----
# 数据来源：2014年全国中蜂饲养数量统计（全国中蜂合计516万群）
province,chinese_bee_colonies_10k,national_share_pct,notes
广东,92,17.83,中蜂养殖第一大省
云南,85,16.47,西南中蜂核心区
广西,50,9.69,
四川,45,8.72,西南中蜂核心区
重庆,43,8.33,
贵州,35,6.78,西南中蜂核心区
福建,30,5.81,
甘肃,21,4.07,
湖南,21,4.07,
浙江,20,3.88,
江西,20,3.88,
湖北,17,3.29,
陕西,14.5,2.81,
海南,14,2.71,
安徽,11,2.13,
,,,

# ---- 第五部分：各省蜂种比例（定量调查数据） ----
province,region,western_bee_pct,chinese_bee_pct,data_year,data_source
安徽（皖南山区）,皖南,58.5,41.5,2004,"安徽省蜜蜂种群消长调查（2002-2004）"
安徽（大别山区）,皖西,63.2,36.8,2004,"安徽省蜜蜂种群消长调查（2002-2004）"
安徽（江淮丘陵）,江淮,96.9,3.1,2004,"安徽省蜜蜂种群消长调查（2002-2004）"
安徽（淮北平原）,淮北,98.9,1.1,2004,"安徽省蜜蜂种群消长调查（2002-2004）"
甘肃张掖,西北,97.08,2.92,2026,"张掖市蜂产业资源调查"
