年份,蜂蜜产量_吨,蜂群数量_群,单产_千克每群,出口量_吨,出口额_万美元,收购价_元每吨,收购价_元每斤,零售价_油菜蜜_元每斤,零售价_洋槐蜜_元每斤,零售价_野花蜜_元每斤,零售价_高档蜜_元每斤,零售均价_元每斤,零售收购比,年末总人口_亿人,国内消费量_吨,出口占比_百分比,人均消费量_克
1961,53269,3356000,15.9,,,,,,,,,,,6.59,53269,,80.8
1962,55000,3460000,15.9,,,,,,,,,,,6.73,55000,,81.7
1963,58221,3519000,16.5,,,,,,,,,,,6.92,58221,,84.1
1964,60206,3658000,16.5,,,,,,,,,,,7.05,60206,,85.4
1965,60205,3757000,16,,,,,,,,,,,7.25,60205,,83.0
1966,65000,3849000,16.9,,,,,,,,,,,7.45,65000,,87.2
1967,65390,3850000,17,,,,,,,,,,,7.64,65390,,85.6
1968,70000,3957000,17.7,,,,,,,,,,,7.85,70000,,89.2
1969,75296,4160000,18.1,,,,,,,,,,,8.07,75296,,93.3
1970,75000,4165000,18,,,,,,,,,,,8.30,75000,,90.4
1971,85407,4370000,19.5,,,,,,,,,,,8.52,85407,,100.2
1972,90000,4375000,20.6,,,,,,,,,,,8.72,90000,,103.2
1973,82614,4180000,19.8,,,,,,,,,,,8.92,82614,,92.6
1974,75000,4185000,17.9,,,,,,,,,,,9.09,75000,,82.5
1975,80609,4190000,19.2,,,,,,,,,,,9.24,80609,,87.2
1976,73000,4195000,17.4,,,,,,,,,,,9.37,73000,,77.9
1977,77316,4300000,18,,,,,,,,,,,9.49,77316,,81.5
1978,75000,4356919,17.2,,,,,,,,,,,9.63,75000,,77.9
1979,110495,4429315,24.9,,,,,,,,,,,9.75,110495,,113.3
1980,120000,5552809,21.6,,,,,,,,,,,9.87,120000,,121.6
1981,116070,6155564,18.9,,,,,,,,,,,10.01,116070,,116.0
1982,136000,6347365,21.4,,,,,,,,,,,10.17,136000,,133.7
1983,146905,6560359,22.4,,,,,,,,,,,10.30,146905,,142.6
1984,147500,6734471,21.9,,,,,,,,,,,10.44,147500,,141.3
1985,157062,7016049,22.4,,,,,,,,,,,10.59,157062,,148.3
1986,172000,6909040,24.9,,,,,,,,,,,10.75,172000,,160
1987,205320,6881040,29.8,,,,,,,,,,,10.93,205320,,187.8
1988,195000,7815910,24.9,,,,,,,,,,,11.10,195000,,175.7
1989,193124,7808208,24.7,,,,,,,,,,,11.27,193124,,171.4
1990,193000,7483472,25.8,,,,,,,,,,,11.43,193000,,168.9
1991,208000,7786087,26.7,,,,,,,,,,,11.58,208000,,179.6
1992,183175,7700420,23.8,,,,,,,,,,,11.72,183175,,156.3
1993,175000,7176170,24.4,,,,,,,,,,,11.85,175000,,147.7
1994,181172,6583250,27.5,102102,11200,,,,,,,,,11.99,79070,56.4,65.9
1995,177690,6431375,27.6,86991,9600,,,,,,,,,12.11,90699,49.0,74.9
1996,188791,6390434,29.5,83461,8300,,,,,,,,,12.24,105330,44.2,86.1
1997,211000,6924345,30.5,48217,4300,,,,,,,,,12.36,162783,22.9,131.7
1998,210691,7108550,29.6,78678,6300,,,,,,,,,12.48,132013,37.3,105.8
1999,230000,7202550,31.9,87188,7000,,,,,,,,,12.58,142812,37.9,113.5
2000,251839,7494970,33.6,98800,9400,,,,,,,,,12.67,153039,39.2,120.8
2001,251600,7598410,33.1,106700,9800,,,,,,,,,12.76,144900,42.4,113.6
2002,267830,7699630,34.8,123400,11000,,,,,,,,,12.85,144430,46.1,112.4
2003,288786,7900720,36.6,140200,12500,,,,,,,,,12.92,148586,48.5,115.0
2004,297987,8101530,36.8,134800,11800,,,,,,,,,13,163187,45.2,125.5
2005,293200,8338930,35.2,142600,12500,8000,4,10,15,8,30,12,3,13.08,150600,48.6,115.1
2006,337578,8480750,39.8,157200,13500,8500,4.3,11,16,9,32,13,3,13.14,180378,46.6,137.3
2007,354000,8573050,41.3,165400,14200,9000,4.5,12,18,10,35,14,3.1,13.21,188600,46.7,142.8
2008,407219,8771200,46.4,162100,15500,9500,4.8,14,20,12,38,16,3.3,13.28,245119,39.8,184.6
2009,402000,8827150,45.5,170200,16200,10000,5,15,22,13,40,18,3.6,13.35,231800,42.3,173.6
2010,409149,8897730,46,175600,17800,12000,6,18,25,15,45,20,3.3,13.41,233549,42.9,174.2
2011,446089,8953870,49.8,171900,18200,13000,6.5,20,28,16,50,22,3.4,13.47,274189,38.5,203.6
