year,province,county,rapeseed_area_1000ha,rapeseed_production_10000tonnes,yield_kg_per_ha,type,source
1961,全国,,1850,,,,historical_estimate
1962,全国,,1700,,,,historical_estimate
1963,全国,,1750,,,,historical_estimate
1964,全国,,1900,,,,historical_estimate
1965,全国,,2000,,,,historical_estimate
1966,全国,,2050,,,,historical_estimate
1967,全国,,2000,,,,historical_estimate
1968,全国,,1950,,,,historical_estimate
1969,全国,,2000,,,,historical_estimate
1970,全国,,2100,,,,historical_estimate
1971,全国,,2150,,,,historical_estimate
1972,全国,,2200,,,,historical_estimate
1973,全国,,2250,,,,historical_estimate
1974,全国,,2300,,,,historical_estimate
1975,全国,,2400,,,,historical_estimate
1976,全国,,2450,,,,historical_estimate
1977,全国,,2500,,,,historical_estimate
1978,全国,,2599.9,,,,冬油菜(占85%以上),statistical_yearbook
1979,全国,,,,,冬油菜(占85%以上),statistical_yearbook
1980,全国,,2844.1,,,,冬油菜(占85%以上),statistical_yearbook
1981,全国,,,,,冬油菜(占85%以上),statistical_yearbook
1982,全国,,,,,冬油菜(占85%以上),statistical_yearbook
1983,全国,,,,,冬油菜(占85%以上),statistical_yearbook
1984,全国,,,,,冬油菜(占85%以上),statistical_yearbook
1985,全国,,4494.2,,,,冬油菜(占85%以上),statistical_yearbook
1986,全国,,4914.7,,,,冬油菜(占85%以上),statistical_yearbook
1987,全国,,5265.6,,,,冬油菜(占85%以上),statistical_yearbook
1988,全国,,5502.4,,,,冬油菜(占85%以上),statistical_yearbook
1989,全国,,5506.2,,,,冬油菜(占85%以上),statistical_yearbook
1990,全国,,5506.9,,,,冬油菜(占85%以上),statistical_yearbook
1991,全国,,5414.2,,,,冬油菜(占85%以上),statistical_yearbook
1992,全国,,5436.2,,,,冬油菜(占85%以上),statistical_yearbook
1993,全国,,5303.8,,,,冬油菜(占85%以上),statistical_yearbook
1994,全国,,5431.5,,,,冬油菜(占85%以上),statistical_yearbook
1995,全国,,6102.4,,,,冬油菜(占85%以上),statistical_yearbook
1996,全国,,5933.4,,,,冬油菜(占85%以上),statistical_yearbook
1997,全国,,5890.8,,,,冬油菜(占85%以上),statistical_yearbook
1998,全国,,6041.5,,,,冬油菜(占85%以上),statistical_yearbook
1999,全国,,6451.8,,,,冬油菜(占85%以上),statistical_yearbook
2000,全国,,6672.3,1138.06,1705.8,冬油菜(占85%以上),statistical_yearbook
2001,全国,,6731.2,1133.14,1683.4,冬油菜(占85%以上),statistical_yearbook
2002,全国,,6811.5,1055.22,1549.1,冬油菜(占85%以上),statistical_yearbook
2003,全国,,7100.5,1142.00,1608.3,冬油菜(占85%以上),statistical_yearbook
2004,全国,,7271.4,1318.17,1812.8,冬油菜(占85%以上),statistical_yearbook
2005,全国,,7178.3,1305.23,1818.3,冬油菜(占85%以上),statistical_yearbook
2006,全国,,6887.9,1096.60,1592.1,冬油菜(占85%以上),statistical_yearbook
2007,全国,,6989.3,1057.30,1512.7,冬油菜(占85%以上),statistical_yearbook
2008,全国,,7207.2,1210.20,1679.2,冬油菜(占85%以上),statistical_yearbook
2009,全国,,7471.5,1365.70,1827.6,冬油菜(占85%以上),statistical_yearbook
2010,全国,,7630.5,1308.20,1714.4,冬油菜(占85%以上),statistical_yearbook
2011,全国,,7592.4,1342.60,1768.4,冬油菜(占85%以上),statistical_yearbook
2012,全国,,7742.5,1400.73,1809.1,冬油菜(占85%以上),statistical_yearbook
2013,全国,,7837.2,1445.82,1844.8,冬油菜(占85%以上),statistical_yearbook
2014,全国,,7905.2,1477.22,1868.7,冬油菜(占85%以上),statistical_yearbook
2015,全国,,7976.8,1385.92,1972.09,冬油菜(占85%以上),statistical_yearbook
2016,全国,,7834.5,1312.80,1982.25,冬油菜(占85%以上),statistical_yearbook
2017,全国,,7925.8,1327.41,1995.21,冬油菜(占85%以上),statistical_yearbook
2018,全国,,8034.1,1328.12,2027.47,冬油菜(占85%以上),statistical_yearbook
2019,全国,,8152.3,1348.47,2048.39,冬油菜(占85%以上),statistical_yearbook
2020,全国,,8235.1,1348.47,2076.82,冬油菜(占85%以上),statistical_yearbook
2021,全国,,8310.6,1404.91,2104.46,冬油菜(占85%以上),statistical_yearbook
2022,全国,,8389.5,1553.14,2141.24,冬油菜(占85%以上),statistical_yearbook
2023,全国,,8450.0,1631.70,2090.76,冬油菜(占85%以上),statistical_yearbook
2024,全国,,8500.0,,,,冬油菜(占85%以上),projected
2025,全国,,8550.0,,,,冬油菜(占85%以上),projected
2020,湖北,,,211.35,,冬油菜,nbs_province
2021,湖北,,,241.06,,冬油菜,nbs_province
2022,湖北,,,251.78,,冬油菜,nbs_province
2023,湖北,,1222.0,274.19,,冬油菜,nbs_province
2023,湖北,荆州市,226.9,58.94,,冬油菜,nbs_city
2023,湖北,荆门市,149.4,37.28,,冬油菜,nbs_city
2023,湖北,沙洋县,49.2,11.70,,冬油菜,nbs_county
2023,湖北,荆州区,12.5,3.90,,冬油菜,nbs_county
2023,湖北,公安县,38.0,,,冬油菜,nbs_county
2020,湖南,,,208.01,,冬油菜,nbs_province
2021,湖南,,,228.74,,冬油菜,nbs_province
2022,湖南,,1469.0,230.25,,冬油菜,nbs_province
2023,湖南,,,243.82,,冬油菜,nbs_province
2023,湖南,衡阳县,46.7,8.00,,冬油菜,nbs_county
2022,湖南,永顺县,11.9,,,冬油菜,nbs_county
2020,四川,,,296.45,,冬油菜,nbs_province
2021,四川,,,317.20,,冬油菜,nbs_province
2022,四川,,,338.66,,冬油菜,nbs_province
2023,四川,,,354.14,,冬油菜,nbs_province
2022,四川,三台县,45.6,,,冬油菜,nbs_county
2022,四川,中江县,36.3,,,冬油菜,nbs_county
2020,江西,,,68.87,,冬油菜,nbs_province
2021,江西,,,67.81,,冬油菜,nbs_province
2022,江西,,524.6,73.36,,冬油菜,nbs_province
2023,江西,,,79.06,,冬油菜,nbs_province
2023,江西,鄱阳县,37.3,,,冬油菜,nbs_county
2023,江西,彭泽县,17.3,3.54,,冬油菜,nbs_county
2020,贵州,,,77.25,,冬油菜,nbs_province
2021,贵州,,,76.17,,冬油菜,nbs_province
2022,贵州,,506.5,80.87,,冬油菜,nbs_province
2023,贵州,,,94.73,,冬油菜,nbs_province
2020,安徽,,,87.28,,冬油菜,nbs_province
