granularity,year,province,province_lat,province_lng,region,county,farm_id,beekeeping_mode,bee_colonies_10k,colonies_share_pct,honey_production_tonnes,yield_kg_per_colony,beekeeper_households,migratory_ratio,colonies_per_household,income_total_est,cost_total_est,honey_price_yuan_per_tonne,sugar_price_yuan_per_tonne,rapeseed_area_1000ha,pesticide_use_10000tonnes,temp_anomaly_c,precip_change_pct,extreme_heat_days,flowering_advance_days,western_bee_pct,chinese_bee_pct,price_royal_jelly_yuan_per_kg,price_pollen_yuan_per_kg,purchase_price_yuan_per_tonne,retail_rape_yuan_per_jin,avg_retail_yuan_per_jin,data_source
province_year,2000,北京,39.9042,116.4074,华北,,,,7664.55,0.1,257.5,35.0,4258082,0.204,18.0,0,0,0,0,0,132.2,0.6,4.0,12.0,3.0,70.0,30.0,80.0,15.0,0,0,0,province_panel_simulation
province_year,2000,天津,39.1252,117.1908,华北,,,,4790.34,0.06,161.0,36.0,2661301,0.302,18.0,0,0,0,0,0,132.2,0.6,4.0,12.0,3.0,70.0,30.0,80.0,15.0,0,0,0,province_panel_simulation
province_year,2000,河北,38.0455,114.502,华北,,,,120716.63,1.61,4056.2,32.8,67064796,0.204,18.0,0,0,0,0,0,132.2,0.6,4.0,12.0,3.0,70.0,30.0,80.0,15.0,0,0,0,province_panel_simulation
province_year,2000,山西,37.8706,112.5489,华北,,,,105387.54,1.41,3541.1,28.8,58548631,0.23,18.0,0,0,0,0,0,132.2,0.6,4.0,12.0,3.0,70.0,30.0,80.0,15.0,0,0,0,province_panel_simulation
province_year,2000,内蒙古,40.8422,111.7498,华北,,,,45029.22,0.6,1513.0,30.8,25016233,0.288,18.0,0,0,0,0,0,132.2,0.6,4.0,12.0,3.0,70.0,30.0,80.0,15.0,0,0,0,province_panel_simulation
province_year,2000,辽宁,41.8057,123.4315,东北,,,,97722.99,1.3,3283.6,36.7,54290549,0.305,18.0,0,0,0,0,0,132.2,0.6,4.0,12.0,3.0,70.0,30.0,80.0,15.0,0,0,0,province_panel_simulation
province_year,2000,吉林,43.8961,125.3265,东北,,,,82393.89,1.1,2768.5,59.5,45774384,0.25,18.0,0,0,0,0,0,132.2,0.6,4.0,12.0,3.0,70.0,30.0,80.0,15.0,0,0,0,province_panel_simulation
province_year,2000,黑龙江,45.8038,126.535,东北,,,,52693.77,0.7,1770.6,37.1,29274315,0.291,18.0,0,0,0,0,0,132.2,0.6,4.0,12.0,3.0,70.0,30.0,80.0,15.0,0,0,0,province_panel_simulation
province_year,2000,上海,31.2304,121.4737,华东,,,,5748.41,0.08,193.2,34.0,3193561,0.346,18.0,0,0,0,0,0,132.2,0.6,4.0,12.0,3.0,70.0,30.0,80.0,15.0,0,0,0,province_panel_simulation
province_year,2000,江苏,32.0603,118.7969,华东,,,,127423.11,1.7,4281.6,36.9,70790618,0.393,18.0,0,0,0,0,0,132.2,0.6,4.0,12.0,3.0,70.0,30.0,80.0,15.0,0,0,0,province_panel_simulation
province_year,2000,浙江,30.2741,120.1551,华东,,,,1210998.6,16.16,40690.8,53.5,672777002,0.307,18.0,0,0,0,0,0,132.2,0.6,4.0,12.0,3.0,70.0,30.0,80.0,15.0,0,0,0,province_panel_simulation
province_year,2000,安徽,31.8206,117.2272,华东,,,,218439.62,2.91,7339.8,29.4,121355345,0.335,18.0,0,0,0,0,0,132.2,0.6,4.0,12.0,3.0,70.0,30.0,80.0,15.0,0,0,0,province_panel_simulation
province_year,2000,福建,26.0745,119.2965,华东,,,,240475.2,3.21,8080.2,35.0,133597331,0.197,18.0,0,0,0,0,0,132.2,0.6,4.0,12.0,3.0,70.0,30.0,80.0,15.0,0,0,0,province_panel_simulation
province_year,2000,江西,28.6829,115.858,华东,,,,203110.53,2.71,6824.7,43.2,112839180,0.34,18.0,0,0,0,0,0,132.2,0.6,4.0,12.0,3.0,70.0,30.0,80.0,15.0,0,0,0,province_panel_simulation
province_year,2000,山东,36.6516,117.1201,华东,,,,165745.85,2.21,5569.2,30.3,92081029,0.309,18.0,0,0,0,0,0,132.2,0.6,4.0,12.0,3.0,70.0,30.0,80.0,15.0,0,0,0,province_panel_simulation
province_year,2000,河南,34.7466,113.6254,华中,,,,594002.48,7.93,19959.1,60.2,330001377,0.396,18.0,0,0,0,0,0,132.2,0.6,4.0,12.0,3.0,70.0,30.0,80.0,15.0,0,0,0,province_panel_simulation
province_year,2000,湖北,30.5928,114.3055,华中,,,,232810.65,3.11,7822.7,37.1,129339249,0.416,18.0,0,0,0,0,0,132.2,0.6,4.0,12.0,3.0,70.0,30.0,80.0,15.0,0,0,0,province_panel_simulation
province_year,2000,湖南,28.2282,112.9388,华中,,,,361191.83,4.82,12136.4,31.7,200662128,0.24,18.0,0,0,0,0,0,132.2,0.6,4.0,12.0,3.0,70.0,30.0,80.0,15.0,0,0,0,province_panel_simulation
province_year,2000,广东,23.1291,113.2644,华南,,,,187781.43,2.51,6309.7,37.4,104323016,0.191,18.0,0,0,0,0,0,132.2,0.6,4.0,12.0,3.0,70.0,30.0,80.0,15.0,0,0,0,province_panel_simulation
province_year,2000,广西,22.817,108.3665,华南,,,,158081.31,2.11,5311.7,58.5,87822947,0.269,18.0,0,0,0,0,0,132.2,0.6,4.0,12.0,3.0,70.0,30.0,80.0,15.0,0,0,0,province_panel_simulation
province_year,2000,海南,20.044,110.3508,华南,,,,11496.82,0.15,386.3,34.2,6387123,0.239,18.0,0,0,0,0,0,132.2,0.6,4.0,12.0,3.0,70.0,30.0,80.0,15.0,0,0,0,province_panel_simulation
province_year,2000,重庆,29.4316,106.9123,西南,,,,316162.61,4.22,10623.4,32.6,175645894,0.233,18.0,0,0,0,0,0,132.2,0.6,4.0,12.0,3.0,70.0,30.0,80.0,15.0,0,0,0,province_panel_simulation
province_year,2000,四川,30.5728,104.0668,西南,,,,1301057.04,17.36,43716.9,29.5,722809469,0.307,18.0,0,0,0,0,0,132.2,0.6,4.0,12.0,3.0,70.0,30.0,80.0,15.0,0,0,0,province_panel_simulation
province_year,2000,贵州,26.6477,106.6302,西南,,,,458914.82,6.12,15420.0,30.1,254952677,0.205,18.0,0,0,0,0,0,132.2,0.6,4.0,12.0,3.0,70.0,30.0,80.0,15.0,0,0,0,province_panel_simulation
province_year,2000,云南,25.0389,102.7183,西南,,,,707054.56,9.43,23757.8,33.5,392808091,0.219,18.0,0,0,0,0,0,132.2,0.6,4.0,12.0,3.0,70.0,30.0,80.0,15.0,0,0,0,province_panel_simulation
province_year,2000,西藏,29.65,91.1,西南,,,,2874.21,0.04,96.6,28.7,1596780,0.308,18.0,0,0,0,0,0,132.2,0.6,4.0,12.0,3.0,70.0,30.0,80.0,15.0,0,0,0,province_panel_simulation
province_year,2000,陕西,34.3416,108.9398,西北,,,,210775.07,2.81,7082.3,31.2,117097263,0.296,18.0,0,0,0,0,0,132.2,0.6,4.0,12.0,3.0,70.0,30.0,80.0,15.0,0,0,0,province_panel_simulation
province_year,2000,甘肃,36.0613,103.834,西北,,,,195445.98,2.61,6567.2,24.4,108581098,0.343,18.0,0,0,0,0,0,132.2,0.6,4.0,12.0,3.0,70.0,30.0,80.0,15.0,0,0,0,province_panel_simulation
province_year,2000,青海,36.6173,101.7782,西北,,,,3832.27,0.05,128.8,33.6,2129041,0.227,18.0,0,0,0,0,0,132.2,0.6,4.0,12.0,3.0,70.0,30.0,80.0,15.0,0,0,0,province_panel_simulation
province_year,2000,宁夏,38.472,106.2589,西北,,,,4790.34,0.06,161.0,31.6,2661301,0.296,18.0,0,0,0,0,0,132.2,0.6,4.0,12.0,3.0,70.0,30.0,80.0,15.0,0,0,0,province_panel_simulation
province_year,2000,新疆,43.7928,87.617,西北,,,,60358.32,0.81,2028.1,36.2,33532398,0.281,18.0,0,0,0,0,0,132.2,0.6,4.0,12.0,3.0,70.0,30.0,80.0,15.0,0,0,0,province_panel_simulation
province_year,2001,北京,39.9042,116.4074,华北,,,,7793.64,0.1,258.1,28.1,4212778,0.249,18.5,0,0,0,0,0,134.7,0.6,4.0,12.0,3.0,0,0,85.0,16.0,0,0,0,province_panel_simulation
province_year,2001,天津,39.1252,117.1908,华北,,,,4871.02,0.06,161.3,36.9,2632986,0.324,18.5,0,0,0,0,0,134.7,0.6,4.0,12.0,3.0,0,0,85.0,16.0,0,0,0,province_panel_simulation
province_year,2001,河北,38.0455,114.502,华北,,,,122749.82,1.62,4064.5,36.9,66351255,0.341,18.5,0,0,0,0,0,134.7,0.6,4.0,12.0,3.0,0,0,85.0,16.0,0,0,0,province_panel_simulation
province_year,2001,山西,37.8706,112.5489,华北,,,,107162.54,1.41,3548.4,28.8,57925699,0.313,18.5,0,0,0,0,0,134.7,0.6,4.0,12.0,3.0,0,0,85.0,16.0,0,0,0,province_panel_simulation
province_year,2001,内蒙古,40.8422,111.7498,华北,,,,45787.63,0.6,1516.1,32.9,24750071,0.281,18.5,0,0,0,0,0,134.7,0.6,4.0,12.0,3.0,0,0,85.0,16.0,0,0,0,province_panel_simulation
province_year,2001,辽宁,41.8057,123.4315,东北,,,,99368.9,1.31,3290.3,32.3,53712920,0.232,18.5,0,0,0,0,0,134.7,0.6,4.0,12.0,3.0,0,0,85.0,16.0,0,0,0,province_panel_simulation
province_year,2001,吉林,43.8961,125.3265,东北,,,,83781.62,1.1,2774.2,41.1,45287364,0.247,18.5,0,0,0,0,0,134.7,0.6,4.0,12.0,3.0,0,0,85.0,16.0,0,0,0,province_panel_simulation
province_year,2001,黑龙江,45.8038,126.535,东北,,,,53581.27,0.71,1774.2,32.5,28962849,0.277,18.5,0,0,0,0,0,134.7,0.6,4.0,12.0,3.0,0,0,85.0,16.0,0,0,0,province_panel_simulation
province_year,2001,上海,31.2304,121.4737,华东,,,,5845.23,0.08,193.5,31.5,3159583,0.287,18.5,0,0,0,0,0,134.7,0.6,4.0,12.0,3.0,0,0,85.0,16.0,0,0,0,province_panel_simulation
province_year,2001,江苏,32.0603,118.7969,华东,,,,129569.26,1.71,4290.3,28.8,70037436,0.394,18.5,0,0,0,0,0,134.7,0.6,4.0,12.0,3.0,0,0,85.0,16.0,0,0,0,province_panel_simulation
province_year,2001,浙江,30.2741,120.1551,华东,,,,1231395.04,16.21,40774.2,56.3,665618941,0.31,18.5,0,0,0,0,0,134.7,0.6,4.0,12.0,3.0,0,0,85.0,16.0,0,0,0,province_panel_simulation
province_year,2001,安徽,31.8206,117.2272,华东,,,,222118.73,2.92,7354.8,30.3,120064176,0.319,18.5,0,0,0,0,0,134.7,0.6,4.0,12.0,3.0,0,0,85.0,16.0,0,0,0,province_panel_simulation
province_year,2001,福建,26.0745,119.2965,华东,,,,244525.44,3.22,8096.8,32.8,132175913,0.251,18.5,0,0,0,0,0,134.7,0.6,4.0,12.0,3.0,0,0,85.0,16.0,0,0,0,province_panel_simulation
province_year,2001,江西,28.6829,115.858,华东,,,,206531.45,2.72,6838.7,38.7,111638619,0.264,18.5,0,0,0,0,0,134.7,0.6,4.0,12.0,3.0,0,0,85.0,16.0,0,0,0,province_panel_simulation
province_year,2001,山东,36.6516,117.1201,华东,,,,168537.45,2.22,5580.6,35.4,91101326,0.3,18.5,0,0,0,0,0,134.7,0.6,4.0,12.0,3.0,0,0,85.0,16.0,0,0,0,province_panel_simulation
province_year,2001,河南,34.7466,113.6254,华中,,,,604007.06,7.95,20000.0,45.7,326490303,0.35,18.5,0,0,0,0,0,134.7,0.6,4.0,12.0,3.0,0,0,85.0,16.0,0,0,0,province_panel_simulation
province_year,2001,湖北,30.5928,114.3055,华中,,,,236731.8,3.12,7838.7,30.0,127963135,0.366,18.5,0,0,0,0,0,134.7,0.6,4.0,12.0,3.0,0,0,85.0,16.0,0,0,0,province_panel_simulation
province_year,2001,湖南,28.2282,112.9388,华中,,,,367275.26,4.83,12161.3,30.6,198527168,0.337,18.5,0,0,0,0,0,134.7,0.6,4.0,12.0,3.0,0,0,85.0,16.0,0,0,0,province_panel_simulation
province_year,2001,广东,23.1291,113.2644,华南,,,,190944.17,2.51,6322.6,33.6,103213063,0.157,18.5,0,0,0,0,0,134.7,0.6,4.0,12.0,3.0,0,0,85.0,16.0,0,0,0,province_panel_simulation
province_year,2001,广西,22.817,108.3665,华南,,,,160743.81,2.12,5322.6,58.9,86888548,0.338,18.5,0,0,0,0,0,134.7,0.6,4.0,12.0,3.0,0,0,85.0,16.0,0,0,0,province_panel_simulation
province_year,2001,海南,20.044,110.3508,华南,,,,11690.46,0.15,387.1,33.0,6319167,0.232,18.5,0,0,0,0,0,134.7,0.6,4.0,12.0,3.0,0,0,85.0,16.0,0,0,0,province_panel_simulation
province_year,2001,重庆,29.4316,106.9123,西南,,,,321487.63,4.23,10645.2,31.9,173777097,0.347,18.5,0,0,0,0,0,134.7,0.6,4.0,12.0,3.0,0,0,85.0,16.0,0,0,0,province_panel_simulation
province_year,2001,四川,30.5728,104.0668,西南,,,,1322970.31,17.41,43806.4,32.7,715119084,0.362,18.5,0,0,0,0,0,134.7,0.6,4.0,12.0,3.0,0,0,85.0,16.0,0,0,0,province_panel_simulation
province_year,2001,贵州,26.6477,106.6302,西南,,,,466644.17,6.14,15451.6,25.7,252240089,0.243,18.5,0,0,0,0,0,134.7,0.6,4.0,12.0,3.0,0,0,85.0,16.0,0,0,0,province_panel_simulation
province_year,2001,云南,25.0389,102.7183,西南,,,,718963.24,9.46,23806.4,32.6,388628780,0.225,18.5,0,0,0,0,0,134.7,0.6,4.0,12.0,3.0,0,0,85.0,16.0,0,0,0,province_panel_simulation
province_year,2001,西藏,29.65,91.1,西南,,,,2922.61,0.04,96.8,28.7,1579791,0.287,18.5,0,0,0,0,0,134.7,0.6,4.0,12.0,3.0,0,0,85.0,16.0,0,0,0,province_panel_simulation
province_year,2001,陕西,34.3416,108.9398,西北,,,,214325.09,2.82,7096.8,29.7,115851398,0.343,18.5,0,0,0,0,0,134.7,0.6,4.0,12.0,3.0,0,0,85.0,16.0,0,0,0,province_panel_simulation
province_year,2001,甘肃,36.0613,103.834,西北,,,,198737.81,2.62,6580.6,26.4,107425841,0.3,18.5,0,0,0,0,0,134.7,0.6,4.0,12.0,3.0,0,0,85.0,16.0,0,0,0,province_panel_simulation
province_year,2001,青海,36.6173,101.7782,西北,,,,3896.82,0.05,129.0,37.0,2106389,0.237,18.5,0,0,0,0,0,134.7,0.6,4.0,12.0,3.0,0,0,85.0,16.0,0,0,0,province_panel_simulation
province_year,2001,宁夏,38.472,106.2589,西北,,,,4871.02,0.06,161.3,32.3,2632986,0.287,18.5,0,0,0,0,0,134.7,0.6,4.0,12.0,3.0,0,0,85.0,16.0,0,0,0,province_panel_simulation
province_year,2001,新疆,43.7928,87.617,西北,,,,61374.91,0.81,2032.3,30.2,33175627,0.306,18.5,0,0,0,0,0,134.7,0.6,4.0,12.0,3.0,0,0,85.0,16.0,0,0,0,province_panel_simulation
province_year,2002,北京,39.9042,116.4074,华北,,,,7921.08,0.1,275.5,36.6,4168990,0.244,19.0,0,0,0,0,0,138.5,0.6,4.0,12.0,3.0,0,0,90.0,17.0,0,0,0,province_panel_simulation
province_year,2002,天津,39.1252,117.1908,华北,,,,4950.68,0.06,172.2,30.3,2605618,0.268,19.0,0,0,0,0,0,138.5,0.6,4.0,12.0,3.0,0,0,90.0,17.0,0,0,0,province_panel_simulation
province_year,2002,河北,38.0455,114.502,华北,,,,124757.04,1.62,4339.6,30.3,65661598,0.231,19.0,0,0,0,0,0,138.5,0.6,4.0,12.0,3.0,0,0,90.0,17.0,0,0,0,province_panel_simulation
province_year,2002,山西,37.8706,112.5489,华北,,,,108914.87,1.41,3788.6,38.8,57323617,0.331,19.0,0,0,0,0,0,138.5,0.6,4.0,12.0,3.0,0,0,90.0,17.0,0,0,0,province_panel_simulation
province_year,2002,内蒙古,40.8422,111.7498,华北,,,,46536.36,0.6,1618.8,38.3,24492818,0.305,19.0,0,0,0,0,0,138.5,0.6,4.0,12.0,3.0,0,0,90.0,17.0,0,0,0,province_panel_simulation
province_year,2002,辽宁,41.8057,123.4315,东北,,,,100993.79,1.31,3513.0,36.4,53154627,0.2,19.0,0,0,0,0,0,138.5,0.6,4.0,12.0,3.0,0,0,90.0,17.0,0,0,0,province_panel_simulation
province_year,2002,吉林,43.8961,125.3265,东北,,,,85151.63,1.11,2962.0,54.4,44816646,0.34,19.0,0,0,0,0,0,138.5,0.6,4.0,12.0,3.0,0,0,90.0,17.0,0,0,0,province_panel_simulation
province_year,2002,黑龙江,45.8038,126.535,东北,,,,54457.44,0.71,1894.3,30.7,28661808,0.282,19.0,0,0,0,0,0,138.5,0.6,4.0,12.0,3.0,0,0,90.0,17.0,0,0,0,province_panel_simulation
