data_table,annual_avg_temp_c,annual_precipitation_mm,area_1000ha,area_yoy_pct,avg_distance_km,avg_humidity_pct,avg_retail_yuan_per_jin,avg_wind_speed_m_s,bee_colonies,bee_colonies_10k,bee_dependency,bee_friendly_by_province,bee_queen,bee_type,bee_venom_yuan_per_g,beekeeper_cost_yuan,beekeeper_households,beekeeper_households_est,beekeeper_income_yuan,beekeeper_name,beekeeper_origin,beekeeping_enterprises_2025,beekeeping_mode,beeswax,beeswax_yuan_per_kg,bloom_mid,bloom_months,bloom_north,bloom_provinces_count,bloom_south,cancelled_annual,case_year,category,chinese_bee_pct,colonies_10k,colonies_count,colonies_fao_10k,colonies_interpolated_10k,colonies_national_10k,colonies_per_ha,colonies_per_household,colonies_share_pct,colonies_source,colony_sales,colony_share_pct,colony_winter_loss_pct,consumption_per_capita_grams,cost_income_ratio_pct,cost_per_colony_yuan,cost_total,cost_total_est,cost_total_yuan,county,crop,crop_sowing_area_1000ha,cumulative_km,diesel_price_yuan_per_liter,distance_km,distribution,domestic_consumption_tonnes,dominant_nectar_source,dominant_transport,end_date,end_day,end_month,equipment,era,export_share_pct,export_tonnes,export_unit_price_usd_per_kg,export_value_10000usd,extra,extreme_heat_days,farm_id,feed_sugar,feed_total_yuan,feed_transport_share_pct,flower_type,flowering_advance_days,flowering_duration_days,flowering_mid,flowering_months,flowering_north,flowering_south,from_lat,from_lng,from_location,frost_free_days,fruit_cn,fruit_en,fruit_sci,gdp_per_capita_yuan,granularity,heavy_rain_days,honey_color,honey_color_hex,honey_grade,honey_import_tonnes,honey_income_pct,honey_plant,honey_price_yuan_per_kg,honey_price_yuan_per_tonne,honey_processing_enterprises,honey_production_2023_10kt,honey_production_kg,honey_production_tonnes,honey_sales,honey_share_pct,honey_yield_kg_per_colony,importance,income_honey,income_per_colony_yuan,income_pollination_service,income_total,income_total_est,income_total_yuan,indicator,inflorescence_type,intensive_migratory_colonies,intensive_migratory_cost,intensive_migratory_honey_price,intensive_migratory_income,intensive_migratory_profit,intensive_migratory_profit_per_colony,intensive_migratory_yield_kg,is_migratory,key_features,location,main_honey_flow_months,main_nectar_plants,main_pollinators,main_provinces,main_routes,main_transport,medicine,method,migratory_households,migratory_ratio,nectar_chain,nectar_source_score,nectar_sources,nectar_yield_kg_per_colony,net_increase,new_reg_yoy_pct,new_registrations,optimal_temp_c,orchard_area_1000ha,orchard_area_share_pct,orchard_provinces,other_cost,other_income,output_10000tonnes,output_yoy_pct,peak_month,period,period_days,pesticide_per_ha_kg,pesticide_production_10000tonnes,pesticide_risk_score,pesticide_use_10000tonnes,plant_cn,plant_en,plant_sci,plant_type,pollen,pollen_feed,pollen_rape_farmgate_yuan_per_kg,pollen_tea_farmgate_yuan_per_kg,pollen_yuan_per_kg,pollination_demand,pollination_income_pct,pollination_service,pollination_share_pct,pollination_type,population_100million,precip_change_pct,price_acacia_yuan_per_tonne,price_linden_yuan_per_tonne,price_lychee_yuan_per_tonne,price_pollen_yuan_per_kg,price_rape_yuan_per_tonne,price_royal_jelly_yuan_per_kg,processing_pct_of_total,profit,profit_margin_pct,profit_yuan,propolis,propolis_raw_farmgate_yuan_per_kg,propolis_yuan_per_kg,province,province_demand_summary,province_lat,province_lng,provinces,purchase_price_yuan_per_jin,purchase_price_yuan_per_tonne,rapeseed_area_1000ha,rapeseed_production_10000tonnes,recommended_colonies_per_ha,record_type,region,rental_price_mid_yuan,rental_price_per_colony,rental_price_range_yuan,retail_acacia_yuan_per_jin,retail_avg_yuan_per_jin,retail_premium_yuan_per_jin,retail_rape_yuan_per_jin,retail_to_purchase_ratio,retail_wildflower_yuan_per_jin,route,route_count,route_description,route_name,route_pattern,route_provinces_count,route_total_km,route_type,royal_jelly,royal_jelly_farmgate_yuan_per_kg,royal_jelly_yuan_per_kg,rural_per_capita_income_yuan,schedule,section,segment_km,segment_order,self_fertile,semi_migratory_colonies,semi_migratory_cost,semi_migratory_honey_price,semi_migratory_income,semi_migratory_profit,semi_migratory_profit_per_colony,semi_migratory_yield_kg,source_category,source_fao,source_interpolated,source_note,spring_avg_temp_c,start_date,start_day,start_month,stationary_chinese_colonies,stationary_chinese_cost,stationary_chinese_honey_price,stationary_chinese_income,stationary_chinese_profit,stationary_chinese_profit_per_colony,stationary_chinese_yield_kg,stationary_italian_colonies,stationary_italian_cost,stationary_italian_honey_price,stationary_italian_income,stationary_italian_profit,stationary_italian_profit_per_colony,stationary_italian_yield_kg,stay_days,sugar_price_yuan_per_tonne,sunshine_hours,temp_anomaly_c,temp_range_c,to_lat,to_lng,to_location,total_cost,total_enterprises,total_income,total_practitioners,transport_fuel,transport_labor,transport_maintain,transport_mode,transport_toll,transport_total_yuan,trend,type,unit,us_honey_price_usd_per_kg,value,western_bee_pct,year,yield_increase_pct,yield_kg_per_colony,yield_kg_per_ha,yield_per_colony_kg,yoy_growth_pct
sim_county,,,,,,,,,,4.99,,,,,,,2067,,,,,,定地意蜂,,,,,,,,,,,,,,,,,,24.1,,,,,,,,,,,,崇州,,,,,,,,柑橘,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,county_year,,,,,,,,,,,,,2650.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,四川,,30.5728,104.0668,,,,,,,,西南,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,,53.1,,,
sim_county,,,,,,,,,,4.77,,,,,,,1819,,,,,,定地意蜂,,,,,,,,,,,,,,,,,,26.2,,,,,,,,,,,,崇州,,,,,,,,荔枝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,county_year,,,,,,,,,,,,,2102.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,四川,,30.5728,104.0668,,,,,,,,西南,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017,,44.1,,,
sim_county,,,,,,,,,,4.76,,,,,,,1793,,,,,,定地意蜂,,,,,,,,,,,,,,,,,,26.5,,,,,,,,,,,,崇州,,,,,,,,向日葵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,county_year,,,,,,,,,,,,,3075.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,四川,,30.5728,104.0668,,,,,,,,西南,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,,64.6,,,
sim_county,,,,,,,,,,4.6,,,,,,,1597,,,,,,定地中蜂,,,,,,,,,,,,,,,,,,28.8,,,,,,,,,,,,崇州,,,,,,,,油菜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,county_year,,,,,,,,,,,,,2772.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,四川,,30.5728,104.0668,,,,,,,,西南,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,,60.3,,,
sim_county,,,,,,,,,,4.72,,,,,,,1574,,,,,,定地中蜂,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,崇州,,,,,,,,油菜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,county_year,,,,,,,,,,,,,1556.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,四川,,30.5728,104.0668,,,,,,,,西南,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,,33.0,,,
sim_county,,,,,,,,,,4.79,,,,,,,1600,,,,,,定地意蜂,,,,,,,,,,,,,,,,,,29.9,,,,,,,,,,,,崇州,,,,,,,,椴树,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,county_year,,,,,,,,,,,,,2912.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,四川,,30.5728,104.0668,,,,,,,,西南,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,,60.8,,,
sim_county,,,,,,,,,,5.05,,,,,,,1937,,,,,,小转地,,,,,,,,,,,,,,,,,,26.1,,,,,,,,,,,,崇州,,,,,,,,荔枝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,county_year,,,,,,,,,,,,,2291.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,四川,,30.5728,104.0668,,,,,,,,西南,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,,45.4,,,
sim_county,,,,,,,,,,4.52,,,,,,,2313,,,,,,小转地,,,,,,,,,,,,,,,,,,19.5,,,,,,,,,,,,崇州,,,,,,,,枣树,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,county_year,,,,,,,,,,,,,1488.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,四川,,30.5728,104.0668,,,,,,,,西南,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,,32.9,,,
sim_county,,,,,,,,,,4.75,,,,,,,1763,,,,,,定地意蜂,,,,,,,,,,,,,,,,,,26.9,,,,,,,,,,,,崇州,,,,,,,,柑橘,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,county_year,,,,,,,,,,,,,1679.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,四川,,30.5728,104.0668,,,,,,,,西南,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,,35.4,,,
sim_county,,,,,,,,,,4.67,,,,,,,1655,,,,,,大转地意蜂,,,,,,,,,,,,,,,,,,28.2,,,,,,,,,,,,崇州,,,,,,,,向日葵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,county_year,,,,,,,,,,,,,2032.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,四川,,30.5728,104.0668,,,,,,,,西南,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,,43.5,,,
