year,honey_sales,royal_jelly,pollen,propolis,beeswax,pollination_service,colony_sales,other_income,total_income,honey_share_pct,pollination_share_pct,total_cost,profit_yuan,profit_margin_pct,income_per_colony_yuan,cost_income_ratio_pct,data_note
2005,27091.32,3870.19,2322.11,774.04,1548.08,1548.08,2322.11,1548.08,41024.01,66.0,3.8,24803.00,16221.01,39.54,1259.89,60.46,基于2012年调查数据按原表增长率反向推估
2006,29413.45,4257.21,2476.92,928.85,1702.88,1702.88,2476.92,1702.88,44661.99,65.9,3.8,25547.00,19114.99,42.80,1341.65,57.20,基于2012年调查数据按原表增长率反向推估
2007,31735.56,4489.42,2709.13,1006.25,1857.69,1935.09,2709.13,1780.29,48222.56,65.8,4.0,26313.00,21909.56,45.43,1425.84,54.57,基于2012年调查数据按原表增长率反向推估
2008,34831.71,4799.04,2941.34,1083.65,2012.50,2167.31,2941.34,1935.09,52711.98,66.1,4.1,27102.00,25609.98,48.58,1529.73,51.42,基于2012年调查数据按原表增长率反向推估
2009,37153.82,5031.25,3096.15,1161.06,2167.31,2322.11,3096.15,2012.50,56040.35,66.3,4.1,27915.00,28125.35,50.19,1659.30,49.81,基于2012年调查数据按原表增长率反向推估
2010,40249.97,5418.27,3483.17,1238.46,2322.11,2709.13,3483.17,2167.31,61071.59,65.9,4.4,28752.00,32319.59,52.92,1840.73,47.08,基于2012年调查数据按原表增长率反向推估
2011,44894.22,5805.28,3715.38,1315.86,2476.92,3096.15,3715.38,2322.11,67341.30,66.7,4.6,29615.00,37726.30,56.02,2022.29,43.98,基于2012年调查数据按原表增长率反向推估
2012,47990.36,6192.30,3870.19,1393.27,2709.13,3483.17,3870.19,2476.92,71985.53,66.7,4.8,30503.00,41482.53,57.63,2159.16,42.37,"总收入和比例为6省(浙江/河南/湖北/吉林/山西/甘肃)330-352户蜂农固定观测点调查数据(刘剑,赵芝俊2019)"
2013,49669.11,6363.86,4035.62,1474.55,2793.89,3725.18,4035.62,2561.06,74658.89,66.5,5.0,30388.00,44270.89,59.30,2236.56,40.70,"总收入和比例为6省(浙江/河南/湖北/吉林/山西/甘肃)330-352户蜂农固定观测点调查数据(刘剑,赵芝俊2019)"
2014,56525.04,6863.75,4441.25,1615.00,3068.50,4199.00,4441.25,2826.25,83980.04,67.3,5.0,30118.00,53862.04,64.14,2506.29,35.86,"总收入和比例为6省(浙江/河南/湖北/吉林/山西/甘肃)330-352户蜂农固定观测点调查数据(刘剑,赵芝俊2019)"
2015,66149.72,7937.97,5291.98,1940.39,3527.99,5291.98,5291.98,3351.59,98783.60,67.0,5.4,32628.00,66155.60,66.97,2997.99,33.03,"总收入和比例为6省(浙江/河南/湖北/吉林/山西/甘肃)330-352户蜂农固定观测点调查数据(刘剑,赵芝俊2019)"
2016,71850.57,8585.92,5874.58,2169.07,3795.88,5874.58,5874.58,3615.12,107640.30,67.2,5.5,29250.00,78390.30,72.83,3252.92,27.17,"总收入和比例为6省(浙江/河南/湖北/吉林/山西/甘肃)330-352户蜂农固定观测点调查数据(刘剑,赵芝俊2019)"
2017,41532.06,5191.51,3359.21,1221.53,2137.68,4275.36,3359.21,2137.68,63214.24,65.7,6.8,30820.00,32394.24,51.25,1902.24,48.75,"总收入和比例为6省(浙江/河南/湖北/吉林/山西/甘肃)330-352户蜂农固定观测点调查数据(刘剑,赵芝俊2019)"
2018,43975.12,5374.74,3542.44,1282.61,2259.83,4580.74,3542.44,2198.76,66756.68,65.9,6.9,31745.00,35011.68,52.45,2040.51,47.55,基于2017年调查数据按原表增长率正向推估
2019,47639.71,5619.04,3786.75,1404.76,2381.99,4886.12,3786.75,2381.99,71887.11,66.3,6.8,32697.00,39190.11,54.52,2186.24,45.48,基于2017年调查数据按原表增长率正向推估
2020,51915.06,6107.66,4153.21,1526.91,2565.22,5191.51,4153.21,2565.22,78178.00,66.4,6.6,33678.00,44500.00,56.92,2377.13,43.08,基于2017年调查数据按原表增长率正向推估
2021,54968.90,6413.04,4275.36,1587.99,2687.37,5802.27,4275.36,2748.45,82758.74,66.4,7.0,34688.00,48070.74,58.09,2558.88,41.91,基于2017年调查数据按原表增长率正向推估
2022,58022.74,6718.42,4580.74,1710.14,2748.45,6107.66,4580.74,2931.67,87400.56,66.4,7.0,35729.00,51671.56,59.12,2696.83,40.88,基于2017年调查数据按原表增长率正向推估
2023,59855.03,7023.80,4763.97,1771.22,2809.52,7329.19,4763.97,3053.83,91370.53,65.5,8.0,36801.00,54569.53,59.72,2852.09,40.28,基于2017年调查数据按原表增长率正向推估
2024,58022.74,6718.42,4580.74,1710.14,2687.37,7939.95,4580.74,3053.83,89293.93,65.0,8.9,37905.00,51388.93,57.55,2753.10,42.45,基于2017年调查数据按原表增长率正向推估; 2024/2025年为行业预估
2025,61076.57,7329.19,4886.12,1832.30,2931.67,9161.48,4886.12,3175.98,95279.43,64.1,9.6,39042.00,56237.43,59.02,2940.72,40.98,基于2017年调查数据按原表增长率正向推估; 2024/2025年为行业预估
