省份,年份,年平均气温(°C),气温距平(°C),年降水量(mm),降水年变化率(%),春季均温(°C),无霜期(天),日照时数(h),平均风速(m/s),平均相对湿度(%),高温日数(≥35°C),暴雨日数(≥50mm),花期提前(天),主要蜜源植物,主要流蜜月份,数据来源
黑龙江,2000,4.8,-0.3,551.0,,6.8,140,2650,3.5,65,5,2,0,椴树、洋槐,6,气温确认+降水估算
黑龙江,2001,4.6,-0.5,568.4,3.2,6.6,139,2620,3.5,65,4,2,-1,椴树、洋槐,6,气温确认+降水估算
黑龙江,2002,4.9,-0.2,574.2,1.0,6.9,140,2600,3.5,66,5,2,0,椴树、洋槐,6,气温确认+降水估算
黑龙江,2003,5.4,0.3,580.0,1.0,7.4,142,2580,3.5,65,6,2,1,椴树、洋槐,6,气温确认+降水估算
黑龙江,2004,5.9,0.8,556.8,-4.0,7.9,143,2610,3.5,64,7,1,2,椴树、洋槐,6,气温确认+降水估算
黑龙江,2005,4.7,-0.4,591.6,6.3,6.7,139,2590,3.5,66,5,2,-1,椴树、洋槐,6,气温确认+降水估算
黑龙江,2006,5.3,0.2,603.2,2.0,7.3,141,2570,3.5,66,6,2,1,椴树、洋槐,6,气温确认+降水估算
黑龙江,2007,6.6,1.5,568.4,-5.8,8.6,146,2630,3.5,64,9,2,4,椴树、洋槐,6,气温确认+降水估算
黑龙江,2008,6.6,1.5,556.8,-2.0,8.6,146,2640,3.5,64,9,2,4,椴树、洋槐,6,气温确认+降水估算
黑龙江,2009,5.0,-0.1,597.4,7.3,7.0,140,2580,3.5,65,5,2,0,椴树、洋槐,6,气温确认+降水估算
黑龙江,2010,4.5,-0.6,638.0,6.8,6.5,138,2560,3.5,66,4,3,-1,椴树、洋槐,6,气温确认+降水估算
黑龙江,2011,5.6,0.5,591.6,-7.3,7.6,142,2600,3.5,65,6,2,1,椴树、洋槐,6,估算(基于国家气候公报)
黑龙江,2012,5.3,0.2,585.8,-1.0,7.3,141,2610,3.5,65,5,2,1,椴树、洋槐,6,估算(基于国家气候公报)
黑龙江,2013,5.7,0.6,603.2,3.0,7.7,142,2570,3.5,66,6,2,1,椴树、洋槐,6,估算(基于国家气候公报)
黑龙江,2014,5.6,0.5,597.4,-1.0,7.6,142,2580,3.5,65,6,2,1,椴树、洋槐,6,估算(基于国家气候公报)
黑龙江,2015,6.0,0.9,574.2,-3.9,8.0,143,2600,3.5,65,7,2,2,椴树、洋槐,6,估算(基于国家气候公报)
黑龙江,2016,5.9,0.8,638.0,11.1,7.9,143,2550,3.5,67,7,3,2,椴树、洋槐,6,估算(基于国家气候公报)
黑龙江,2017,5.9,0.8,609.0,-4.5,7.9,143,2570,3.5,66,7,2,2,椴树、洋槐,6,估算(基于国家气候公报)
黑龙江,2018,5.6,0.5,603.2,-1.0,7.6,142,2580,3.5,65,6,2,1,椴树、洋槐,6,估算(基于国家气候公报)
黑龙江,2019,5.9,0.8,728.3,20.7,7.9,143,2500,3.5,69,7,4,2,椴树、洋槐,6,气温估算+降水确认
黑龙江,2020,5.8,0.7,723.1,-0.7,7.8,143,2510,3.5,69,7,4,2,椴树、洋槐,6,气温估算+降水确认
黑龙江,2021,6.1,1.0,603.2,-16.6,8.1,144,2570,3.5,66,8,2,2,椴树、洋槐,6,估算
黑龙江,2022,5.7,0.6,551.0,-8.7,7.7,142,2620,3.5,64,6,2,1,椴树、洋槐,6,估算
黑龙江,2023,5.9,0.8,603.2,9.5,7.9,143,2580,3.5,66,7,2,2,椴树、洋槐,6,估算
四川,2000,16.6,0.1,902.5,,13.6,280,1120,1.5,80,15,5,0,油菜、柑橘,3,气温确认+降水估算
四川,2001,17.3,0.8,921.5,2.1,14.3,282,1100,1.5,80,17,5,2,油菜、柑橘,3,气温确认+降水估算
四川,2002,17.4,0.9,931.0,1.0,14.4,282,1090,1.5,81,17,6,2,油菜、柑橘,3,气温确认+降水估算
四川,2003,17.2,0.7,950.0,2.0,14.2,281,1080,1.5,81,16,6,2,油菜、柑橘,3,气温确认+降水估算
四川,2004,16.2,-0.3,921.5,-3.0,13.2,278,1120,1.5,80,14,5,-1,油菜、柑橘,3,气温确认+降水估算
四川,2005,16.2,-0.3,959.5,4.1,13.2,278,1070,1.5,81,14,6,-1,油菜、柑橘,3,气温确认+降水估算
四川,2006,16.9,0.4,883.5,-7.9,13.9,280,1130,1.5,79,16,5,1,油菜、柑橘,3,气温确认+降水估算
四川,2007,16.8,0.3,921.5,4.3,13.8,279,1100,1.5,80,16,5,1,油菜、柑橘,3,气温确认+降水估算
四川,2008,16.3,-0.2,969.0,5.2,13.3,278,1060,1.5,82,15,6,-1,油菜、柑橘,3,气温确认+降水估算
四川,2009,16.8,0.3,940.5,-2.9,13.8,279,1090,1.5,80,16,5,1,油菜、柑橘,3,气温确认+降水估算
四川,2010,16.0,-0.5,1026.0,9.1,13.0,277,1050,1.5,82,14,7,-1,油菜、柑橘,3,气温确认+降水估算
四川,2011,17.0,0.5,969.0,-5.6,14.0,280,1080,1.5,81,16,6,1,油菜、柑橘,3,估算(基于国家气候公报)
四川,2012,16.7,0.2,959.5,-1.0,13.7,279,1080,1.5,80,15,6,1,油菜、柑橘,3,估算(基于国家气候公报)
四川,2013,17.1,0.6,988.0,3.0,14.1,280,1070,1.5,81,16,6,1,油菜、柑橘,3,估算(基于国家气候公报)
四川,2014,17.0,0.5,969.0,-1.9,14.0,280,1080,1.5,80,16,6,1,油菜、柑橘,3,估算(基于国家气候公报)
四川,2015,17.4,0.9,959.5,-1.0,14.4,282,1080,1.5,80,18,6,2,油菜、柑橘,3,估算(基于国家气候公报)
四川,2016,17.3,0.8,1045.0,8.9,14.3,281,1040,1.5,83,17,7,2,油菜、柑橘,3,估算(基于国家气候公报)
四川,2017,17.3,0.8,988.0,-5.5,14.3,281,1070,1.5,81,17,6,2,油菜、柑橘,3,估算(基于国家气候公报)
四川,2018,17.0,0.5,978.5,-1.0,14.0,280,1070,1.5,81,16,6,1,油菜、柑橘,3,估算(基于国家气候公报)
四川,2019,17.3,0.8,953.2,-2.6,14.3,281,1090,1.5,80,17,6,2,油菜、柑橘,3,估算
四川,2020,17.2,0.7,1055.0,10.7,14.2,281,1040,1.5,83,17,7,2,油菜、柑橘,3,气温估算+降水确认
