granularity,year,province,province_lat,province_lng,region,county,farm_id,beekeeping_mode,bee_colonies_10k,honey_production_tonnes,yield_kg_per_colony,beekeeper_households,colonies_per_household,nectar_source_score,pesticide_risk_score,dominant_nectar_source,data_source
county_year,2016,四川,30.5728,104.0668,西南,崇州,,定地意蜂,4.99,2650.6,53.1,2067,24.1,9,10,柑橘,county_simulation
county_year,2017,四川,30.5728,104.0668,西南,崇州,,定地意蜂,4.77,2102.9,44.1,1819,26.2,5,6,荔枝,county_simulation
county_year,2018,四川,30.5728,104.0668,西南,崇州,,定地意蜂,4.76,3075.8,64.6,1793,26.5,4,3,向日葵,county_simulation
county_year,2019,四川,30.5728,104.0668,西南,崇州,,定地中蜂,4.6,2772.5,60.3,1597,28.8,6,3,油菜,county_simulation
county_year,2020,四川,30.5728,104.0668,西南,崇州,,定地中蜂,4.72,1556.2,33.0,1574,30.0,7,7,油菜,county_simulation
county_year,2021,四川,30.5728,104.0668,西南,崇州,,定地意蜂,4.79,2912.4,60.8,1600,29.9,4,9,椴树,county_simulation
county_year,2022,四川,30.5728,104.0668,西南,崇州,,小转地,5.05,2291.0,45.4,1937,26.1,9,3,荔枝,county_simulation
county_year,2023,四川,30.5728,104.0668,西南,崇州,,小转地,4.52,1488.6,32.9,2313,19.5,6,2,枣树,county_simulation
county_year,2024,四川,30.5728,104.0668,西南,崇州,,定地意蜂,4.75,1679.3,35.4,1763,26.9,6,5,柑橘,county_simulation
county_year,2025,四川,30.5728,104.0668,西南,崇州,,大转地意蜂,4.67,2032.7,43.5,1655,28.2,8,4,向日葵,county_simulation
county_year,2016,四川,30.5728,104.0668,西南,邛崃,,小转地,1.74,707.4,40.7,714,24.4,3,4,龙眼,county_simulation
county_year,2017,四川,30.5728,104.0668,西南,邛崃,,定地中蜂,1.87,1221.7,65.3,753,24.8,3,6,荆条,county_simulation
county_year,2018,四川,30.5728,104.0668,西南,邛崃,,小转地,1.8,927.9,51.6,754,23.9,6,1,油菜,county_simulation
county_year,2019,四川,30.5728,104.0668,西南,邛崃,,小转地,1.89,1109.0,58.7,921,20.5,8,2,荆条,county_simulation
county_year,2020,四川,30.5728,104.0668,西南,邛崃,,定地中蜂,1.9,763.2,40.2,742,25.6,7,1,油菜,county_simulation
county_year,2021,四川,30.5728,104.0668,西南,邛崃,,定地意蜂,1.92,1296.1,67.5,717,26.8,9,4,油菜,county_simulation
county_year,2022,四川,30.5728,104.0668,西南,邛崃,,定地意蜂,1.98,642.3,32.4,775,25.5,5,3,刺槐,county_simulation
county_year,2023,四川,30.5728,104.0668,西南,邛崃,,大转地意蜂,1.92,544.3,28.4,766,25.1,5,5,椴树,county_simulation
county_year,2024,四川,30.5728,104.0668,西南,邛崃,,小转地,2.08,767.3,36.9,826,25.2,6,8,龙眼,county_simulation
county_year,2025,四川,30.5728,104.0668,西南,邛崃,,定地中蜂,2.14,1398.4,65.3,1071,20.0,1,4,枣树,county_simulation
county_year,2016,四川,30.5728,104.0668,西南,彭州,,小转地,8.48,4196.3,49.5,3163,26.8,2,6,油菜,county_simulation
county_year,2017,四川,30.5728,104.0668,西南,彭州,,大转地意蜂,8.02,4696.7,58.6,3122,25.7,10,1,刺槐,county_simulation
county_year,2018,四川,30.5728,104.0668,西南,彭州,,定地中蜂,7.77,4233.7,54.5,4260,18.2,8,7,刺槐,county_simulation
county_year,2019,四川,30.5728,104.0668,西南,彭州,,大转地意蜂,7.98,2207.0,27.7,3368,23.7,5,7,刺槐,county_simulation
county_year,2020,四川,30.5728,104.0668,西南,彭州,,小转地,8.09,4067.8,50.3,3808,21.2,7,2,向日葵,county_simulation
county_year,2021,四川,30.5728,104.0668,西南,彭州,,大转地意蜂,8.27,2125.4,25.7,4260,19.4,8,4,柑橘,county_simulation
county_year,2022,四川,30.5728,104.0668,西南,彭州,,小转地,7.96,3674.1,46.2,3762,21.2,6,7,荔枝,county_simulation
county_year,2023,四川,30.5728,104.0668,西南,彭州,,定地中蜂,7.83,5130.0,65.5,3185,24.6,6,4,油菜,county_simulation
county_year,2024,四川,30.5728,104.0668,西南,彭州,,定地中蜂,7.46,1903.9,25.5,3912,19.1,3,2,向日葵,county_simulation
county_year,2025,四川,30.5728,104.0668,西南,彭州,,小转地,7.46,4866.8,65.2,2795,26.7,8,5,荔枝,county_simulation
county_year,2016,四川,30.5728,104.0668,西南,金堂,,定地意蜂,5.71,1254.6,22.0,2841,20.1,6,6,紫云英,county_simulation
county_year,2017,四川,30.5728,104.0668,西南,金堂,,大转地意蜂,5.01,2901.3,57.9,2617,19.1,1,3,荆条,county_simulation
county_year,2018,四川,30.5728,104.0668,西南,金堂,,定地意蜂,5.41,3665.5,67.8,1882,28.7,2,6,龙眼,county_simulation
county_year,2019,四川,30.5728,104.0668,西南,金堂,,定地意蜂,5.46,3719.1,68.1,2393,22.8,7,8,紫云英,county_simulation
county_year,2020,四川,30.5728,104.0668,西南,金堂,,大转地意蜂,5.41,1387.8,25.7,1962,27.6,3,2,紫云英,county_simulation
county_year,2021,四川,30.5728,104.0668,西南,金堂,,定地中蜂,5.6,2713.0,48.4,2353,23.8,3,10,紫云英,county_simulation
county_year,2022,四川,30.5728,104.0668,西南,金堂,,小转地,5.7,3598.3,63.1,2249,25.3,8,8,刺槐,county_simulation
county_year,2023,四川,30.5728,104.0668,西南,金堂,,定地意蜂,5.95,1378.4,23.2,2554,23.3,1,9,柑橘,county_simulation
county_year,2024,四川,30.5728,104.0668,西南,金堂,,定地意蜂,5.91,4006.3,67.8,2856,20.7,9,9,柑橘,county_simulation
county_year,2025,四川,30.5728,104.0668,西南,金堂,,定地意蜂,5.02,1627.9,32.4,1935,25.9,7,3,向日葵,county_simulation
county_year,2016,四川,30.5728,104.0668,西南,中江,,定地中蜂,9.11,6078.1,66.7,5022,18.1,8,3,刺槐,county_simulation
county_year,2017,四川,30.5728,104.0668,西南,中江,,定地意蜂,9.03,3300.0,36.5,4133,21.8,1,9,枣树,county_simulation
