granularity,year,province,province_lat,province_lng,region,location,crop,rental_price_range_yuan,rental_price_mid_yuan,colonies_per_ha,period_days,pollination_demand,data_source
pollination_service,2018,山东,36.6516,117.1201,华东,山东烟台,苹果,207-307,257,12,18,高,compiled_from_news_reports_simulated
pollination_service,2019,山东,36.6516,117.1201,华东,山东烟台,苹果,213-313,263,12,18,高,compiled_from_news_reports_simulated
pollination_service,2020,山东,36.6516,117.1201,华东,山东烟台,苹果,203-303,253,12,18,高,compiled_from_news_reports_simulated
pollination_service,2021,山东,36.6516,117.1201,华东,山东烟台,苹果,220-320,270,12,18,高,compiled_from_news_reports_simulated
pollination_service,2022,山东,36.6516,117.1201,华东,山东烟台,苹果,222-322,272,12,18,高,compiled_from_news_reports_simulated
pollination_service,2023,山东,36.6516,117.1201,华东,山东烟台,苹果,228-328,278,12,18,高,compiled_from_news_reports_simulated
pollination_service,2024,山东,36.6516,117.1201,华东,山东烟台,苹果,255-355,305,12,18,高,compiled_from_news_reports_simulated
pollination_service,2025,山东,36.6516,117.1201,华东,山东烟台,苹果,261-361,311,12,18,高,compiled_from_news_reports_simulated
pollination_service,2018,山东,36.6516,117.1201,华东,山东临朐,樱桃（大棚）,273-323,298,18,20,极高,compiled_from_news_reports_simulated
pollination_service,2019,山东,36.6516,117.1201,华东,山东临朐,樱桃（大棚）,297-347,322,18,20,极高,compiled_from_news_reports_simulated
pollination_service,2020,山东,36.6516,117.1201,华东,山东临朐,樱桃（大棚）,279-329,304,18,20,极高,compiled_from_news_reports_simulated
pollination_service,2021,山东,36.6516,117.1201,华东,山东临朐,樱桃（大棚）,315-365,340,18,20,极高,compiled_from_news_reports_simulated
pollination_service,2022,山东,36.6516,117.1201,华东,山东临朐,樱桃（大棚）,306-356,331,18,20,极高,compiled_from_news_reports_simulated
pollination_service,2023,山东,36.6516,117.1201,华东,山东临朐,樱桃（大棚）,328-378,353,18,20,极高,compiled_from_news_reports_simulated
pollination_service,2024,山东,36.6516,117.1201,华东,山东临朐,樱桃（大棚）,334-384,359,18,20,极高,compiled_from_news_reports_simulated
pollination_service,2025,山东,36.6516,117.1201,华东,山东临朐,樱桃（大棚）,351-401,376,18,20,极高,compiled_from_news_reports_simulated
pollination_service,2018,陕西,34.3416,108.9398,西北,陕西子洲,山地苹果,201-301,251,9,18,高,compiled_from_news_reports_simulated
pollination_service,2019,陕西,34.3416,108.9398,西北,陕西子洲,山地苹果,205-305,255,9,18,高,compiled_from_news_reports_simulated
pollination_service,2020,陕西,34.3416,108.9398,西北,陕西子洲,山地苹果,224-324,274,9,18,高,compiled_from_news_reports_simulated
pollination_service,2021,陕西,34.3416,108.9398,西北,陕西子洲,山地苹果,218-318,268,9,18,高,compiled_from_news_reports_simulated
pollination_service,2022,陕西,34.3416,108.9398,西北,陕西子洲,山地苹果,231-331,281,9,18,高,compiled_from_news_reports_simulated
pollination_service,2023,陕西,34.3416,108.9398,西北,陕西子洲,山地苹果,235-335,285,9,18,高,compiled_from_news_reports_simulated
pollination_service,2024,陕西,34.3416,108.9398,西北,陕西子洲,山地苹果,244-344,294,9,18,高,compiled_from_news_reports_simulated
pollination_service,2025,陕西,34.3416,108.9398,西北,陕西子洲,山地苹果,245-345,295,9,18,高,compiled_from_news_reports_simulated
pollination_service,2018,四川,30.5728,104.0668,西南,四川眉山,猕猴桃,270-350,310,12,13,极高,compiled_from_news_reports_simulated
pollination_service,2019,四川,30.5728,104.0668,西南,四川眉山,猕猴桃,255-335,295,12,13,极高,compiled_from_news_reports_simulated
pollination_service,2020,四川,30.5728,104.0668,西南,四川眉山,猕猴桃,291-371,331,12,13,极高,compiled_from_news_reports_simulated
pollination_service,2021,四川,30.5728,104.0668,西南,四川眉山,猕猴桃,298-378,338,12,13,极高,compiled_from_news_reports_simulated
pollination_service,2022,四川,30.5728,104.0668,西南,四川眉山,猕猴桃,284-364,324,12,13,极高,compiled_from_news_reports_simulated
pollination_service,2023,四川,30.5728,104.0668,西南,四川眉山,猕猴桃,310-390,350,12,13,极高,compiled_from_news_reports_simulated
pollination_service,2024,四川,30.5728,104.0668,西南,四川眉山,猕猴桃,304-384,344,12,13,极高,compiled_from_news_reports_simulated
pollination_service,2025,四川,30.5728,104.0668,西南,四川眉山,猕猴桃,318-398,358,12,13,极高,compiled_from_news_reports_simulated
pollination_service,2018,四川,30.5728,104.0668,西南,四川眉山,桃,174-224,199,8,12,中,compiled_from_news_reports_simulated
pollination_service,2019,四川,30.5728,104.0668,西南,四川眉山,桃,178-228,203,8,12,中,compiled_from_news_reports_simulated
pollination_service,2020,四川,30.5728,104.0668,西南,四川眉山,桃,182-232,207,8,12,中,compiled_from_news_reports_simulated
pollination_service,2021,四川,30.5728,104.0668,西南,四川眉山,桃,195-245,220,8,12,中,compiled_from_news_reports_simulated
pollination_service,2022,四川,30.5728,104.0668,西南,四川眉山,桃,208-258,233,8,12,中,compiled_from_news_reports_simulated
pollination_service,2023,四川,30.5728,104.0668,西南,四川眉山,桃,212-262,237,8,12,中,compiled_from_news_reports_simulated
pollination_service,2024,四川,30.5728,104.0668,西南,四川眉山,桃,207-257,232,8,12,中,compiled_from_news_reports_simulated
pollination_service,2025,四川,30.5728,104.0668,西南,四川眉山,桃,212-262,237,8,12,中,compiled_from_news_reports_simulated
pollination_service,2018,新疆,43.7928,87.617,西北,新疆奇台,食葵,159-209,184,4,23,中,compiled_from_news_reports_simulated
pollination_service,2019,新疆,43.7928,87.617,西北,新疆奇台,食葵,161-211,186,4,23,中,compiled_from_news_reports_simulated
pollination_service,2020,新疆,43.7928,87.617,西北,新疆奇台,食葵,163-213,188,4,23,中,compiled_from_news_reports_simulated
pollination_service,2021,新疆,43.7928,87.617,西北,新疆奇台,食葵,173-223,198,4,23,中,compiled_from_news_reports_simulated
pollination_service,2022,新疆,43.7928,87.617,西北,新疆奇台,食葵,175-225,200,4,23,中,compiled_from_news_reports_simulated
pollination_service,2023,新疆,43.7928,87.617,西北,新疆奇台,食葵,177-227,202,4,23,中,compiled_from_news_reports_simulated
pollination_service,2024,新疆,43.7928,87.617,西北,新疆奇台,食葵,181-231,206,4,23,中,compiled_from_news_reports_simulated
pollination_service,2025,新疆,43.7928,87.617,西北,新疆奇台,食葵,197-247,222,4,23,中,compiled_from_news_reports_simulated
pollination_service,2018,新疆,43.7928,87.617,西北,新疆特克斯,新梅（李子）,43-83,63,8,18,高,compiled_from_news_reports_simulated
pollination_service,2019,新疆,43.7928,87.617,西北,新疆特克斯,新梅（李子）,44-84,64,8,18,高,compiled_from_news_reports_simulated
pollination_service,2020,新疆,43.7928,87.617,西北,新疆特克斯,新梅（李子）,46-86,66,8,18,高,compiled_from_news_reports_simulated
pollination_service,2021,新疆,43.7928,87.617,西北,新疆特克斯,新梅（李子）,47-87,67,8,18,高,compiled_from_news_reports_simulated
pollination_service,2022,新疆,43.7928,87.617,西北,新疆特克斯,新梅（李子）,48-88,68,8,18,高,compiled_from_news_reports_simulated
pollination_service,2023,新疆,43.7928,87.617,西北,新疆特克斯,新梅（李子）,46-86,66,8,18,高,compiled_from_news_reports_simulated
pollination_service,2024,新疆,43.7928,87.617,西北,新疆特克斯,新梅（李子）,49-89,69,8,18,高,compiled_from_news_reports_simulated
pollination_service,2025,新疆,43.7928,87.617,西北,新疆特克斯,新梅（李子）,51-91,71,8,18,高,compiled_from_news_reports_simulated
pollination_service,2018,安徽,31.8206,117.2272,华东,安徽怀宁,蓝莓,190-290,240,20,18,极高,compiled_from_news_reports_simulated
pollination_service,2019,安徽,31.8206,117.2272,华东,安徽怀宁,蓝莓,204-304,254,20,18,极高,compiled_from_news_reports_simulated
pollination_service,2020,安徽,31.8206,117.2272,华东,安徽怀宁,蓝莓,213-313,263,20,18,极高,compiled_from_news_reports_simulated
pollination_service,2021,安徽,31.8206,117.2272,华东,安徽怀宁,蓝莓,234-334,284,20,18,极高,compiled_from_news_reports_simulated
pollination_service,2022,安徽,31.8206,117.2272,华东,安徽怀宁,蓝莓,222-322,272,20,18,极高,compiled_from_news_reports_simulated
pollination_service,2023,安徽,31.8206,117.2272,华东,安徽怀宁,蓝莓,242-342,292,20,18,极高,compiled_from_news_reports_simulated
pollination_service,2024,安徽,31.8206,117.2272,华东,安徽怀宁,蓝莓,245-345,295,20,18,极高,compiled_from_news_reports_simulated
pollination_service,2025,安徽,31.8206,117.2272,华东,安徽怀宁,蓝莓,247-347,297,20,18,极高,compiled_from_news_reports_simulated
pollination_service,2018,云南,25.0389,102.7183,西南,云南红河,蓝莓,486-636,561,20,18,极高,compiled_from_news_reports_simulated
pollination_service,2019,云南,25.0389,102.7183,西南,云南红河,蓝莓,478-628,553,20,18,极高,compiled_from_news_reports_simulated
pollination_service,2020,云南,25.0389,102.7183,西南,云南红河,蓝莓,531-681,606,20,18,极高,compiled_from_news_reports_simulated
pollination_service,2021,云南,25.0389,102.7183,西南,云南红河,蓝莓,540-690,615,20,18,极高,compiled_from_news_reports_simulated
pollination_service,2022,云南,25.0389,102.7183,西南,云南红河,蓝莓,524-674,599,20,18,极高,compiled_from_news_reports_simulated
pollination_service,2023,云南,25.0389,102.7183,西南,云南红河,蓝莓,545-695,620,20,18,极高,compiled_from_news_reports_simulated
pollination_service,2024,云南,25.0389,102.7183,西南,云南红河,蓝莓,585-735,660,20,18,极高,compiled_from_news_reports_simulated
pollination_service,2025,云南,25.0389,102.7183,西南,云南红河,蓝莓,605-755,680,20,18,极高,compiled_from_news_reports_simulated
pollination_service,2018,浙江,30.2741,120.1551,华东,浙江嘉兴,草莓（大棚）,161-361,261,15,25,高,compiled_from_news_reports_simulated
pollination_service,2019,浙江,30.2741,120.1551,华东,浙江嘉兴,草莓（大棚）,169-369,269,15,25,高,compiled_from_news_reports_simulated
pollination_service,2020,浙江,30.2741,120.1551,华东,浙江嘉兴,草莓（大棚）,171-371,271,15,25,高,compiled_from_news_reports_simulated
pollination_service,2021,浙江,30.2741,120.1551,华东,浙江嘉兴,草莓（大棚）,178-378,278,15,25,高,compiled_from_news_reports_simulated
pollination_service,2022,浙江,30.2741,120.1551,华东,浙江嘉兴,草莓（大棚）,170-370,270,15,25,高,compiled_from_news_reports_simulated
pollination_service,2023,浙江,30.2741,120.1551,华东,浙江嘉兴,草莓（大棚）,178-378,278,15,25,高,compiled_from_news_reports_simulated
pollination_service,2024,浙江,30.2741,120.1551,华东,浙江嘉兴,草莓（大棚）,197-397,297,15,25,高,compiled_from_news_reports_simulated
pollination_service,2025,浙江,30.2741,120.1551,华东,浙江嘉兴,草莓（大棚）,213-413,313,15,25,高,compiled_from_news_reports_simulated
pollination_service,2018,湖北,30.5928,114.3055,华中,湖北武汉,草莓（大棚）,355-455,405,15,25,高,compiled_from_news_reports_simulated
pollination_service,2019,湖北,30.5928,114.3055,华中,湖北武汉,草莓（大棚）,372-472,422,15,25,高,compiled_from_news_reports_simulated
pollination_service,2020,湖北,30.5928,114.3055,华中,湖北武汉,草莓（大棚）,394-494,444,15,25,高,compiled_from_news_reports_simulated
pollination_service,2021,湖北,30.5928,114.3055,华中,湖北武汉,草莓（大棚）,404-504,454,15,25,高,compiled_from_news_reports_simulated
pollination_service,2022,湖北,30.5928,114.3055,华中,湖北武汉,草莓（大棚）,398-498,448,15,25,高,compiled_from_news_reports_simulated
