fruit_cn,year,fruit_en,fruit_sci,pollination_type,bee_dependency,self_fertile,main_provinces,bloom_south,bloom_mid,bloom_north,optimal_temp_c,recommended_colonies_per_ha,yield_increase_pct,flower_type,main_pollinators,flowering_duration_days,area_1000ha,area_yoy_pct,output_10000tonnes,output_yoy_pct,trend,bloom_months,bloom_provinces_count,orchard_provinces,province_demand_summary,bee_friendly_by_province
李,,Plum,Prunus salicina,异花授粉,高,否（多数品种需异花授粉）,山东、河北、河南、辽宁、四川,2月中旬-3月中旬,3月中旬-4月上旬,4月上旬-4月下旬,16-24,7-12,20-50,两性花,蜜蜂科(蜜蜂属)、壁蜂属,10-15
杏,,Apricot,Prunus armeniaca,自花/异花授粉,中,部分品种自交结实,河北、山东、山西、陕西、新疆,2月上旬-3月上旬,3月上旬-3月下旬,3月下旬-4月中旬,18-24,5-10,15-35,两性花,蜜蜂科(蜜蜂属)、壁蜂属,7-12,,,,,,"3,4",7,"山西, 新疆, 甘肃","高(1省), 中高(1省), 中(1省)",甘肃:4月-5月; 山西:4月-5月; 新疆:4月下旬-6月
枇杷,2022,Loquat,Eriobotrya japonica,昆虫授粉,中,多数品种自交结实，但昆虫授粉可提高产量,浙江、江苏、福建、安徽、湖北,10月-12月,11月-12月,,18-22,5-10,10-25,两性花,蜜蜂科(蜜蜂属)—中蜂较意蜂更适应低温,20-30,133,,,稳定,国家统计局,"1,4,11,12",4,福建,中高(1省),福建:2月-5月
枇杷,2023,Loquat,Eriobotrya japonica,昆虫授粉,中,多数品种自交结实，但昆虫授粉可提高产量,浙江、江苏、福建、安徽、湖北,10月-12月,11月-12月,,18-22,5-10,10-25,两性花,蜜蜂科(蜜蜂属)—中蜂较意蜂更适应低温,20-30,133,0.00,80.00,,稳定,"1,4,11,12",4,福建,中高(1省),福建:2月-5月
枇杷,2024,Loquat,Eriobotrya japonica,昆虫授粉,中,多数品种自交结实，但昆虫授粉可提高产量,浙江、江苏、福建、安徽、湖北,10月-12月,11月-12月,,18-22,5-10,10-25,两性花,蜜蜂科(蜜蜂属)—中蜂较意蜂更适应低温,20-30,133,0.00,82.00,2.50,稳定,"1,4,11,12",4,福建,中高(1省),福建:2月-5月
枣,2022,Jujube,Ziziphus jujuba,虫媒+风媒,中高,多数品种可自花结实，但虫媒提高产量,新疆、河北、山东、山西、陕西,4月下旬-5月,5月-6月,6月-7月,26-32,3-8,15-30,两性花,蜜蜂科(蜜蜂属)、蝇类,30-40,2000,,,稳定,国家统计局,"5,6,7",6,"山东, 山西, 新疆, 河北, 河南, 陕西","极高(2省), 高(2省), 中高(1省), 中(1省)",山东:3月中旬-5月; 陕西:4月上旬-5月; 河北:3月下旬-5月; 山西:4月-5月; 河南:3月下旬-5月; 新疆:4月下旬-6月
枣,2023,Jujube,Ziziphus jujuba,虫媒+风媒,中高,多数品种可自花结实，但虫媒提高产量,新疆、河北、山东、山西、陕西,4月下旬-5月,5月-6月,6月-7月,26-32,3-8,15-30,两性花,蜜蜂科(蜜蜂属)、蝇类,30-40,2000,0.00,734.00,,稳定,"5,6,7",6,"山东, 山西, 新疆, 河北, 河南, 陕西","极高(2省), 高(2省), 中高(1省), 中(1省)",山东:3月中旬-5月; 陕西:4月上旬-5月; 河北:3月下旬-5月; 山西:4月-5月; 河南:3月下旬-5月; 新疆:4月下旬-6月
枣,2024,Jujube,Ziziphus jujuba,虫媒+风媒,中高,多数品种可自花结实，但虫媒提高产量,新疆、河北、山东、山西、陕西,4月下旬-5月,5月-6月,6月-7月,26-32,3-8,15-30,两性花,蜜蜂科(蜜蜂属)、蝇类,30-40,2000,0.00,740.00,0.82,稳定,"5,6,7",6,"山东, 山西, 新疆, 河北, 河南, 陕西","极高(2省), 高(2省), 中高(1省), 中(1省)",山东:3月中旬-5月; 陕西:4月上旬-5月; 河北:3月下旬-5月; 山西:4月-5月; 河南:3月下旬-5月; 新疆:4月下旬-6月
柑橘,2022,Citrus,Citrus reticulata,自花授粉/单性结实,中低,是（多数品种单性结实或自花授粉）,广西、湖南、四川、广东、湖北、江西,2月-3月,3月-4月,4月-5月,20-24,3-8,5-15,两性花,蜜蜂科(蜜蜂属),15-25,3033,,,稳定增长,国家统计局,"2,3,4",9,"四川, 广东, 广西, 湖北, 湖南, 福建, 贵州","中高(5省), 高(2省)",四川:3月-5月; 广西:2月-5月; 广东:2月-4月; 福建:2月-5月; 湖南:3月-5月; 湖北:3月-5月; 贵州:3月-5月
柑橘,2023,Citrus,Citrus reticulata,自花授粉/单性结实,中低,是（多数品种单性结实或自花授粉）,广西、湖南、四川、广东、湖北、江西,2月-3月,3月-4月,4月-5月,20-24,3-8,5-15,两性花,蜜蜂科(蜜蜂属),15-25,3050,0.56,6003.00,,稳定增长,"2,3,4",9,"四川, 广东, 广西, 湖北, 湖南, 福建, 贵州","中高(5省), 高(2省)",四川:3月-5月; 广西:2月-5月; 广东:2月-4月; 福建:2月-5月; 湖南:3月-5月; 湖北:3月-5月; 贵州:3月-5月
