region,crop,rental_price_per_colony,colonies_per_ha,period_days,source,year
山东烟台,苹果,200-300,7-15,15-20,果农蜂农合作,2024
山东临朐,樱桃（大棚）,300,15-20,20,大棚蜜蜂授粉,2024
陕西榆林子洲县,山地苹果,200-300,7-10,15-20,果蜂联动示范,2025
四川眉山东坡区,猕猴桃/桃/李,300,8-15,10-15,专合社出租蜂群,2024
新疆奇台县,食葵/打瓜/南瓜,150-200,3-5,20-25,蜂农租蜂授粉,2023
新疆特克斯县,新梅（李子）,60（天）,5-10,15-20,按日计费,2024
安徽怀宁县,蓝莓,200-300,15-25,15-20,蓝莓授粉专用,2025
云南红河州,蓝莓,400-700,15-25,15-20,蓝莓基地授粉,2024
浙江嘉兴,草莓/甜瓜（大棚）,150-350,10-20,20-30,大棚授粉服务,2024
湖北武汉,草莓（大棚）,400,10-20,20-30,大棚授粉,2024
上海嘉定,草莓/番茄/桃,300,10-15,15-25,都市农业授粉,2024
江苏苏州,枇杷,混合模式,5-10,30-40,购蜂+授粉+转卖,2024
吉林龙井,苹果,150-250,7-10,15-20,蜂农租蜂授粉,2024
北京昌平,樱桃（大棚）,125,10-20,20-30,政府采购蜜蜂授粉,2024
北京昌平,草莓（大棚）,215,10-20,20-30,政府采购蜜蜂授粉,2024
北京昌平,大棚授粉（熊蜂）,180,-,20-30,政府采购熊蜂授粉,2024
广西龙州,蜂授粉推广（补贴价）,75,-,15-20,蜂业质量提升补贴6448群,2024
新疆昌吉,番茄/草莓（熊蜂）,500,-,20-30,政府采购熊蜂100头+/箱,2024
河北献县,番茄（大棚熊蜂补贴价）,160,5-10,30-40,政府熊蜂补贴原价360元/箱农户实付160元,2024
山西晋中太谷区,番茄（大棚熊蜂）,350-500,10-15,30-40,熊蜂授粉示范每箱管1亩省工一半,2024
陕西西安长安区,番茄/草莓（熊蜂）,300-500,10-15,30-40,熊蜂繁养含技术指导服务,2024
河南郑州,番茄（熊蜂）,160,10-15,20-30,熊蜂4元/只每箱约40只,2024
河北献县,番茄（大棚熊蜂原价）,360,5-10,30-40,熊蜂推广项目零售价,2025
