granularity,year,province,province_lat,province_lng,region,county,farm_id,beekeeping_mode,colonies_count,honey_production_kg,yield_kg_per_colony,honey_price_yuan_per_kg,income_honey,income_pollination_service,income_total,cost_total,profit,profit_margin_pct,is_migratory,data_source
farm_year,2015,四川,30.5728,104.0668,西南,,FARM00001,大转地意蜂,187,9412.0,50.3,18.0,169530.5,24879.8,194410.3,127348.4,67061.9,34.5,1,farm_micro_simulation
farm_year,2016,四川,30.5728,104.0668,西南,,FARM00001,大转地意蜂,169,7741.8,45.8,29.1,225464.2,32223.2,257687.4,160884.2,96803.2,37.6,1,farm_micro_simulation
farm_year,2017,四川,30.5728,104.0668,西南,,FARM00001,大转地意蜂,186,9948.8,53.5,18.6,184832.3,24024.5,208856.8,142222.4,66634.4,31.9,1,farm_micro_simulation
farm_year,2018,四川,30.5728,104.0668,西南,,FARM00001,大转地意蜂,185,7993.5,43.2,25.8,205864.3,20768.4,226632.7,153378.0,73254.7,32.3,1,farm_micro_simulation
farm_year,2019,四川,30.5728,104.0668,西南,,FARM00001,大转地意蜂,186,10641.1,57.2,27.9,297222.0,49649.8,346871.8,194178.8,152693.0,44.0,1,farm_micro_simulation
farm_year,2020,四川,30.5728,104.0668,西南,,FARM00001,大转地意蜂,189,10585.1,56.0,21.9,231717.8,27858.6,259576.4,164050.5,95525.9,36.8,1,farm_micro_simulation
farm_year,2021,四川,30.5728,104.0668,西南,,FARM00001,大转地意蜂,170,8709.3,51.2,28.2,245176.0,12981.5,258157.5,157503.4,100654.1,39.0,1,farm_micro_simulation
farm_year,2022,四川,30.5728,104.0668,西南,,FARM00001,大转地意蜂,212,8345.1,39.4,15.4,128764.7,13404.4,142169.1,87015.3,55153.8,38.8,1,farm_micro_simulation
farm_year,2023,四川,30.5728,104.0668,西南,,FARM00001,大转地意蜂,219,8352.1,38.1,14.5,121351.7,10932.6,132284.3,76421.5,55862.8,42.2,1,farm_micro_simulation
farm_year,2024,四川,30.5728,104.0668,西南,,FARM00001,大转地意蜂,186,8611.0,46.3,15.3,131752.9,13384.3,145137.2,94263.0,50874.2,35.1,1,farm_micro_simulation
farm_year,2025,四川,30.5728,104.0668,西南,,FARM00001,大转地意蜂,210,13115.4,62.5,24.0,314476.0,38145.5,352621.5,230780.9,121840.6,34.6,1,farm_micro_simulation
farm_year,2015,四川,30.5728,104.0668,西南,,FARM00002,定地中蜂,29,419.9,14.5,16.2,6822.1,0,6822.1,2618.9,4203.2,61.6,0,farm_micro_simulation
farm_year,2016,四川,30.5728,104.0668,西南,,FARM00002,定地中蜂,35,482.5,13.8,15.2,7345.8,0,7345.8,2181.9,5163.9,70.3,0,farm_micro_simulation
farm_year,2017,四川,30.5728,104.0668,西南,,FARM00002,定地中蜂,33,326.1,9.9,22.3,7263.5,0,7263.5,2602.9,4660.6,64.2,0,farm_micro_simulation
