data_table,annual_avg_temp_c,annual_precipitation_mm,area_1000ha,area_yoy_pct,avg_distance_km,avg_humidity_pct,avg_retail_yuan_per_jin,avg_wind_speed_m_s,bee_colonies,bee_colonies_10k,bee_dependency,bee_friendly_by_province,bee_queen,bee_type,bee_venom_yuan_per_g,beekeeper_cost_yuan,beekeeper_households,beekeeper_households_est,beekeeper_income_yuan,beekeeper_name,beekeeper_origin,beekeeping_enterprises_2025,beekeeping_mode,beeswax,beeswax_yuan_per_kg,bloom_mid,bloom_months,bloom_north,bloom_provinces_count,bloom_south,cancelled_annual,case_year,category,chinese_bee_pct,colonies_10k,colonies_count,colonies_fao_10k,colonies_interpolated_10k,colonies_national_10k,colonies_per_ha,colonies_per_household,colonies_share_pct,colonies_source,colony_sales,colony_share_pct,colony_winter_loss_pct,consumption_per_capita_grams,cost_income_ratio_pct,cost_per_colony_yuan,cost_total,cost_total_est,cost_total_yuan,county,crop,crop_sowing_area_1000ha,cumulative_km,diesel_price_yuan_per_liter,distance_km,distribution,domestic_consumption_tonnes,dominant_nectar_source,dominant_transport,end_date,end_day,end_month,equipment,era,export_share_pct,export_tonnes,export_unit_price_usd_per_kg,export_value_10000usd,extra,extreme_heat_days,farm_id,feed_sugar,feed_total_yuan,feed_transport_share_pct,flower_type,flowering_advance_days,flowering_duration_days,flowering_mid,flowering_months,flowering_north,flowering_south,from_lat,from_lng,from_location,frost_free_days,fruit_cn,fruit_en,fruit_sci,gdp_per_capita_yuan,granularity,heavy_rain_days,honey_color,honey_color_hex,honey_grade,honey_import_tonnes,honey_income_pct,honey_plant,honey_price_yuan_per_kg,honey_price_yuan_per_tonne,honey_processing_enterprises,honey_production_2023_10kt,honey_production_kg,honey_production_tonnes,honey_sales,honey_share_pct,honey_yield_kg_per_colony,importance,income_honey,income_per_colony_yuan,income_pollination_service,income_total,income_total_est,income_total_yuan,indicator,inflorescence_type,intensive_migratory_colonies,intensive_migratory_cost,intensive_migratory_honey_price,intensive_migratory_income,intensive_migratory_profit,intensive_migratory_profit_per_colony,intensive_migratory_yield_kg,is_migratory,key_features,location,main_honey_flow_months,main_nectar_plants,main_pollinators,main_provinces,main_routes,main_transport,medicine,method,migratory_households,migratory_ratio,nectar_chain,nectar_source_score,nectar_sources,nectar_yield_kg_per_colony,net_increase,new_reg_yoy_pct,new_registrations,optimal_temp_c,orchard_area_1000ha,orchard_area_share_pct,orchard_provinces,other_cost,other_income,output_10000tonnes,output_yoy_pct,peak_month,period,period_days,pesticide_per_ha_kg,pesticide_production_10000tonnes,pesticide_risk_score,pesticide_use_10000tonnes,plant_cn,plant_en,plant_sci,plant_type,pollen,pollen_feed,pollen_rape_farmgate_yuan_per_kg,pollen_tea_farmgate_yuan_per_kg,pollen_yuan_per_kg,pollination_demand,pollination_income_pct,pollination_service,pollination_share_pct,pollination_type,population_100million,precip_change_pct,price_acacia_yuan_per_tonne,price_linden_yuan_per_tonne,price_lychee_yuan_per_tonne,price_pollen_yuan_per_kg,price_rape_yuan_per_tonne,price_royal_jelly_yuan_per_kg,processing_pct_of_total,profit,profit_margin_pct,profit_yuan,propolis,propolis_raw_farmgate_yuan_per_kg,propolis_yuan_per_kg,province,province_demand_summary,province_lat,province_lng,provinces,purchase_price_yuan_per_jin,purchase_price_yuan_per_tonne,rapeseed_area_1000ha,rapeseed_production_10000tonnes,recommended_colonies_per_ha,record_type,region,rental_price_mid_yuan,rental_price_per_colony,rental_price_range_yuan,retail_acacia_yuan_per_jin,retail_avg_yuan_per_jin,retail_premium_yuan_per_jin,retail_rape_yuan_per_jin,retail_to_purchase_ratio,retail_wildflower_yuan_per_jin,route,route_count,route_description,route_name,route_pattern,route_provinces_count,route_total_km,route_type,royal_jelly,royal_jelly_farmgate_yuan_per_kg,royal_jelly_yuan_per_kg,rural_per_capita_income_yuan,schedule,section,segment_km,segment_order,self_fertile,semi_migratory_colonies,semi_migratory_cost,semi_migratory_honey_price,semi_migratory_income,semi_migratory_profit,semi_migratory_profit_per_colony,semi_migratory_yield_kg,source_category,source_fao,source_interpolated,source_note,spring_avg_temp_c,start_date,start_day,start_month,stationary_chinese_colonies,stationary_chinese_cost,stationary_chinese_honey_price,stationary_chinese_income,stationary_chinese_profit,stationary_chinese_profit_per_colony,stationary_chinese_yield_kg,stationary_italian_colonies,stationary_italian_cost,stationary_italian_honey_price,stationary_italian_income,stationary_italian_profit,stationary_italian_profit_per_colony,stationary_italian_yield_kg,stay_days,sugar_price_yuan_per_tonne,sunshine_hours,temp_anomaly_c,temp_range_c,to_lat,to_lng,to_location,total_cost,total_enterprises,total_income,total_practitioners,transport_fuel,transport_labor,transport_maintain,transport_mode,transport_toll,transport_total_yuan,trend,type,unit,us_honey_price_usd_per_kg,value,western_bee_pct,year,yield_increase_pct,yield_kg_per_colony,yield_kg_per_ha,yield_per_colony_kg,yoy_growth_pct
bee_product_national_annual,,,,,,,,,3356000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.8,,,,,,,,,,,,,53269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53269,,,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1961,,,,,
bee_product_national_annual,,,,,,,,,3460000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.7,,,,,,,,,,,,,55000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55000,,,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1962,,,,,
bee_product_national_annual,,,,,,,,,3519000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.1,,,,,,,,,,,,,58221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58221,,,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1963,,,,,
bee_product_national_annual,,,,,,,,,3658000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.4,,,,,,,,,,,,,60206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60206,,,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1964,,,,,
bee_product_national_annual,,,,,,,,,3757000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0,,,,,,,,,,,,,60205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60205,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1965,,,,,
bee_product_national_annual,,,,,,,,,3849000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.2,,,,,,,,,,,,,65000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65000,,,16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1966,,,,,
bee_product_national_annual,,,,,,,,,3850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.6,,,,,,,,,,,,,65390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65390,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1967,,,,,
bee_product_national_annual,,,,,,,,,3957000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.2,,,,,,,,,,,,,70000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000,,,17.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1968,,,,,
bee_product_national_annual,,,,,,,,,4160000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.3,,,,,,,,,,,,,75296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75296,,,18.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1969,,,,,
bee_product_national_annual,,,,,,,,,4165000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.4,,,,,,,,,,,,,75000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75000,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970,,,,,
