year,feed_sugar,pollen_feed,transport_fuel,transport_toll,transport_maintain,transport_labor,medicine,equipment,bee_queen,other_cost,total_cost,feed_transport_share_pct,sugar_price_yuan_per_tonne,diesel_price_yuan_per_liter,colony_winter_loss_pct,cost_per_colony_yuan,colonies_per_household,transport_total_yuan,feed_total_yuan,data_note
2005,8433,3968,2009,536,536,3616,1255,1255,742,2453,24803,77.0,3500,4.0,5.0,1209.9,20.5,6697,12401,"总成本基于2012年调查数据按3%年降幅反向推估, 细分项按成本结构比例分配"
2006,8686,4088,2069,552,552,3725,1293,1293,764,2525,25547,77.0,4800,4.5,5.0,1205.0,21.2,6898,12774,"总成本基于2012年调查数据按3%年降幅反向推估, 细分项按成本结构比例分配"
2007,8946,4210,2131,568,568,3836,1331,1331,787,2605,26313,77.0,3900,4.8,5.5,1196.0,22.0,7103,13156,"总成本基于2012年调查数据按3%年降幅反向推估, 细分项按成本结构比例分配"
2008,9215,4336,2195,585,585,3951,1371,1371,810,2683,27102,77.0,3000,5.8,5.5,1188.7,22.8,7316,13551,"总成本基于2012年调查数据按3%年降幅反向推估, 细分项按成本结构比例分配"
2009,9491,4466,2261,603,603,4070,1412,1412,835,2762,27915,77.0,4200,5.2,6.0,1198.1,23.3,7537,13957,"总成本基于2012年调查数据按3%年降幅反向推估, 细分项按成本结构比例分配"
2010,9776,4600,2329,621,621,4192,1455,1455,860,2843,28752,77.0,5800,5.8,2.81,1295.1,22.2,7763,14376,"总成本基于2012年调查数据按3%年降幅反向推估, 细分项按成本结构比例分配"
2011,10069,4738,2399,640,640,4318,1499,1499,885,2928,29615,77.0,7200,6.5,9.65,1298.9,22.8,7997,14807,"总成本基于2012年调查数据按3%年降幅反向推估, 细分项按成本结构比例分配"
2012,10371,4880,2471,659,659,4447,1543,1543,912,3018,30503,77.0,6500,6.8,11.78,1303.5,23.4,8236,15251,"总成本来自6省330-352户蜂农固定观测点调查数据(刘剑,赵芝俊2019), 细分项按成本结构比例(饲料50%/运输27%/其他23%)分配"
2013,10332,4862,2461,656,656,4431,1538,1538,909,3005,30388,77.0,5400,7.0,9.97,1245.4,24.4,8204,15194,"总成本来自6省330-352户蜂农固定观测点调查数据(刘剑,赵芝俊2019), 细分项按成本结构比例(饲料50%/运输27%/其他23%)分配"
2014,10240,4819,2440,651,651,4391,1524,1524,901,2977,30118,77.0,4600,6.8,9.23,1167.4,25.8,8133,15059,"总成本来自6省330-352户蜂农固定观测点调查数据(刘剑,赵芝俊2019), 细分项按成本结构比例(饲料50%/运输27%/其他23%)分配"
2015,11094,5220,2643,705,705,4757,1651,1651,976,3226,32628,77.0,5300,5.5,8.41,1315.6,24.8,8810,16314,"总成本来自6省330-352户蜂农固定观测点调查数据(刘剑,赵芝俊2019), 细分项按成本结构比例(饲料50%/运输27%/其他23%)分配"
2016,9945,4680,2369,632,632,4265,1480,1480,875,2892,29250,77.0,5700,4.8,10.25,1151.6,25.4,7898,14625,"总成本来自6省330-352户蜂农固定观测点调查数据(刘剑,赵芝俊2019), 细分项按成本结构比例(饲料50%/运输27%/其他23%)分配"
2017,10479,4931,2496,666,666,4494,1559,1559,922,3048,30820,77.0,6400,5.3,7.88,1185.4,26.0,8322,15410,"总成本来自6省330-352户蜂农固定观测点调查数据(刘剑,赵芝俊2019), 细分项按成本结构比例(饲料50%/运输27%/其他23%)分配"
2018,10793,5079,2571,686,686,4628,1606,1606,949,3141,31745,77.0,5600,6.2,9.82,1193.4,26.6,8571,15872,"总成本基于2017年调查数据按3%年增幅正向推估, 细分项按成本结构比例分配"
2019,11117,5232,2648,706,706,4767,1654,1654,978,3235,32697,77.0,5300,6.0,11.17,1197.7,27.3,8827,16349,"总成本基于2017年调查数据按3%年增幅正向推估, 细分项按成本结构比例分配"
2020,11451,5388,2728,727,727,4910,1704,1704,1007,3332,33678,77.0,5400,5.0,10.49,1224.7,27.5,9092,16839,"总成本基于2017年调查数据按3%年增幅正向推估, 细分项按成本结构比例分配"
2021,11794,5550,2810,749,749,5058,1755,1755,1037,3431,34688,77.0,5700,5.8,12.4,1221.4,28.4,9366,17344,"总成本基于2017年调查数据按3%年增幅正向推估, 细分项按成本结构比例分配"
2022,12148,5717,2894,772,772,5209,1808,1808,1068,3533,35729,77.0,5800,7.5,11.0,1232.0,29.0,9647,17865,"总成本基于2017年调查数据按3%年增幅正向推估, 细分项按成本结构比例分配"
2023,12512,5888,2981,795,795,5366,1862,1862,1100,3640,36801,77.0,6500,7.2,10.5,1239.1,29.7,9937,18400,"总成本基于2017年调查数据按3%年增幅正向推估, 细分项按成本结构比例分配"
2024,12888,6065,3070,819,819,5527,1918,1918,1133,3748,37905,77.0,6400,7.0,10.0,1289.3,29.4,10235,18953,"总成本基于2017年调查数据按3%年增幅正向推估, 细分项按成本结构比例分配"
2025,13274,6247,3162,843,843,5692,1976,1976,1167,3862,39042,77.0,6200,6.8,10.0,1319.0,29.6,10540,19521,"总成本基于2017年调查数据按3%年增幅正向推估, 细分项按成本结构比例分配"
