year,intensive_migratory_income,intensive_migratory_cost,intensive_migratory_profit,semi_migratory_income,semi_migratory_cost,semi_migratory_profit,stationary_italian_income,stationary_italian_cost,stationary_italian_profit,stationary_chinese_income,stationary_chinese_cost,stationary_chinese_profit,intensive_migratory_colonies,semi_migratory_colonies,stationary_italian_colonies,stationary_chinese_colonies,intensive_migratory_yield_kg,semi_migratory_yield_kg,stationary_italian_yield_kg,stationary_chinese_yield_kg,intensive_migratory_honey_price,semi_migratory_honey_price,stationary_italian_honey_price,stationary_chinese_honey_price,intensive_migratory_profit_per_colony,semi_migratory_profit_per_colony,stationary_italian_profit_per_colony,stationary_chinese_profit_per_colony
2005,76665.6,39587.51,37078.09,54761.15,24742.2,30018.95,32856.69,11876.25,20980.44,27380.56,7917.5,19463.06,102.1,63.8,42.5,25.5,55.0,43.0,28.0,15.0,8.0,10.0,15.0,50.0,363.15,470.52,493.66,763.26
2006,71175.4,36875.06,34300.34,52195.28,23154.11,29041.17,30368.17,11148.27,19219.9,25623.14,7718.04,17905.1,107.7,67.3,44.9,26.9,55.3,43.3,28.3,15.3,8.2,10.2,15.3,51.8,318.48,431.52,428.06,665.62
2007,84909.08,43159.09,41749.99,61559.09,27813.63,33745.46,37147.73,13427.28,23720.45,31840.91,9590.92,22249.99,113.7,71.1,47.4,28.4,55.6,43.6,28.6,15.6,8.4,10.4,15.7,53.5,367.19,474.62,500.43,783.45
2008,82312.47,42003.31,40309.16,60039.68,27127.14,32912.54,36798.51,13126.04,23672.47,31956.61,9625.75,22330.86,119.8,74.9,49.9,30.0,55.9,43.9,28.9,15.9,8.6,10.6,16.1,55.2,336.47,439.42,474.4,744.36
2009,90849.97,46645.28,44204.69,67105.09,30785.89,36319.2,41295.44,14926.49,26368.95,37165.9,11194.87,25971.03,126.2,78.8,52.6,31.5,56.2,44.2,29.2,16.2,8.8,10.8,16.4,57.0,350.27,460.9,501.31,824.48
2010,93489.09,48020.5,45468.59,68886.71,32013.67,36873.04,44284.31,16006.83,28277.48,41332.02,12449.76,28882.26,133.1,83.2,55.5,33.3,56.5,44.5,29.5,16.5,9.0,11.0,16.8,58.8,341.61,443.19,509.5,867.34
2011,109696.79,54755.56,54941.23,81489.05,36818.4,44670.65,50147.11,17937.17,32209.94,48057.64,14160.92,33896.72,138.3,86.4,57.6,34.6,56.8,44.8,29.8,16.8,9.2,11.2,17.1,60.5,397.26,517.02,559.2,979.67
2012,107719.15,54038.74,53680.41,80307.06,36603.35,43703.71,50936.96,17435.39,33501.57,48978.95,13945.88,35033.07,138.9,86.8,57.9,34.7,43.3,39.0,27.9,10.4,9.4,11.4,17.4,62.2,386.47,503.5,578.61,1009.6
2013,111152.16,53653.83,57498.33,82154.64,36052.85,46101.79,53157.13,17600.98,35556.15,52201.5,14246.1,37955.4,144.3,90.2,60.1,36.1,43.4,39.1,27.9,10.4,9.6,11.6,17.8,64.0,398.46,511.11,591.62,1051.4
2014,124592.79,52416.85,72175.94,91706.2,35201.57,56504.63,59793.79,17998.34,41795.45,59793.79,14866.1,44927.69,142.8,89.2,59.5,35.7,49.5,44.5,31.8,11.9,9.8,11.8,18.1,65.8,505.43,633.46,702.44,1258.48
2015,146357.78,56955.54,89402.24,109768.34,37966.01,71802.33,67963.12,19772.6,48190.52,71084.68,15818.08,55266.6,136.1,85.0,56.7,34.0,61.0,54.9,39.2,14.7,10.0,12.0,18.5,67.5,656.89,844.73,849.92,1625.49
2016,156078.43,50719.71,105358.72,118404.33,33813.14,84591.19,75348.21,17585.17,57763.04,80730.23,14882.46,65847.77,138.9,86.8,57.9,34.7,65.8,59.2,42.3,15.8,10.2,12.2,18.9,69.2,758.52,974.55,997.63,1897.63
2017,86932.22,53724.71,33207.51,67158.81,35812.36,31346.45,47410.68,18590.38,28820.3,51355.25,15150.91,36204.34,136.9,85.5,57.0,34.2,40.2,36.2,25.8,9.6,10.4,12.4,19.2,71.0,242.57,366.63,505.62,1058.61
2018,130291.68,83421.42,46870.26,97718.76,56309.46,41409.3,70574.66,29197.5,41377.16,76003.48,23983.66,52019.82,185.5,116.0,77.3,46.4,58.9,46.9,31.9,18.9,10.6,12.6,19.6,72.8,252.67,356.98,535.28,1121.12
2019,130449.01,78882.04,51566.97,96628.9,52897.37,43731.53,69572.81,27840.72,41732.09,77303.12,23200.6,54102.52,191.6,119.7,79.8,47.9,59.2,47.2,32.2,19.2,10.8,12.8,19.9,74.5,269.14,365.34,522.96,1129.49
2020,158209.35,89140.63,69068.72,116020.19,59764.74,56255.45,82268.86,32414.78,49854.08,94925.61,28362.93,66562.68,197.4,123.4,82.2,49.3,59.5,47.5,32.5,19.5,11.0,13.0,20.2,76.2,349.89,455.88,606.5,1350.16
2021,159684.87,91027.38,68657.49,118475.87,61344.54,57131.33,84478.45,33640.56,50837.89,97871.37,29682.84,68188.53,204.0,127.5,85.0,51.0,53.1,33.2,22.1,12.7,17.8,22.3,44.6,82.4,336.56,448.09,598.09,1337.03
2022,167650.56,95631.13,72019.43,127008.0,64404.64,62603.36,89413.63,35129.8,54283.83,106686.72,31226.49,75460.23,211.1,131.9,88.0,52.8,54.5,34.0,22.7,13.0,18.4,23.0,46.0,84.9,341.16,474.63,616.86,1429.17
2023,170000.0,97960.8,72039.2,128000.0,66267.6,61732.4,90000.0,36495.2,53504.8,115000.0,33614.0,81386.0,218.7,136.7,91.1,54.7,55.8,34.9,23.3,13.3,19.0,23.7,47.4,87.4,329.4,451.59,587.32,1487.86
2024,160032.77,96059.67,63973.1,119072.0,65869.49,53202.51,83826.69,36594.16,47232.53,114309.12,34764.45,79544.67,226.3,141.4,94.3,56.6,60.7,48.7,33.7,20.7,11.8,13.8,21.6,83.2,282.69,376.26,500.88,1405.38
2025,179225.2,106227.49,72997.71,133138.72,73769.09,59369.63,94221.25,41310.69,52910.56,128018.0,39343.52,88674.48,232.3,145.2,96.8,58.1,61.0,49.0,34.0,21.0,12.0,14.0,22.0,85.0,314.24,408.88,546.6,1526.24
