region,province,year,bee_colonies,bee_type,source_note,source
全国,全国,1961,3356000,总计,FAO统计数据,FAOSTAT
全国,全国,1962,3460000,总计,FAO统计数据,FAOSTAT
全国,全国,1963,3519000,总计,FAO统计数据,FAOSTAT
全国,全国,1964,3658000,总计,FAO统计数据,FAOSTAT
全国,全国,1965,3757000,总计,FAO统计数据,FAOSTAT
全国,全国,1966,3849000,总计,FAO统计数据,FAOSTAT
全国,全国,1967,3850000,总计,FAO统计数据,FAOSTAT
全国,全国,1968,3957000,总计,FAO统计数据,FAOSTAT
全国,全国,1969,4160000,总计,FAO统计数据,FAOSTAT
全国,全国,1970,4165000,总计,FAO统计数据,FAOSTAT
全国,全国,1971,4370000,总计,FAO统计数据,FAOSTAT
全国,全国,1972,4375000,总计,FAO统计数据,FAOSTAT
全国,全国,1973,4180000,总计,FAO统计数据,FAOSTAT
全国,全国,1974,4185000,总计,FAO统计数据,FAOSTAT
全国,全国,1975,4190000,总计,FAO统计数据,FAOSTAT
全国,全国,1976,4195000,总计,FAO统计数据,FAOSTAT
全国,全国,1977,4300000,总计,FAO统计数据,FAOSTAT
全国,全国,1978,4356919,总计,FAO统计数据,FAOSTAT
全国,全国,1979,4429315,总计,FAO统计数据,FAOSTAT
全国,全国,1980,5552809,总计,FAO统计数据,FAOSTAT
全国,全国,1981,6155564,总计,FAO统计数据,FAOSTAT
全国,全国,1982,6347365,总计,FAO统计数据,FAOSTAT
全国,全国,1983,6560359,总计,FAO统计数据,FAOSTAT
全国,全国,1984,6734471,总计,FAO统计数据,FAOSTAT
全国,全国,1985,7016049,总计,FAO统计数据,FAOSTAT
全国,全国,1986,6909040,总计,FAO统计数据,FAOSTAT
全国,全国,1987,6881040,总计,FAO统计数据,FAOSTAT
全国,全国,1988,7815910,总计,FAO统计数据,FAOSTAT
全国,全国,1989,7808208,总计,FAO统计数据,FAOSTAT
全国,全国,1990,7483472,总计,FAO统计数据,FAOSTAT
全国,全国,1991,7786087,总计,FAO统计数据,FAOSTAT
全国,全国,1992,7700420,总计,FAO统计数据,FAOSTAT
全国,全国,1993,7176170,总计,FAO统计数据,FAOSTAT
全国,全国,1994,6583250,总计,FAO统计数据,FAOSTAT
全国,全国,1995,6431375,总计,FAO统计数据,FAOSTAT
全国,全国,1996,6390434,总计,FAO统计数据,FAOSTAT
全国,全国,1997,6924345,总计,FAO统计数据,FAOSTAT
全国,全国,1998,7108550,总计,FAO统计数据,FAOSTAT
全国,全国,1999,7202550,总计,FAO统计数据,FAOSTAT
全国,全国,2000,7494970,总计,FAO统计数据,FAOSTAT
全国,全国,2001,7598410,总计,FAO统计数据,FAOSTAT
全国,全国,2002,7699630,总计,FAO统计数据,FAOSTAT
全国,全国,2003,7900720,总计,FAO统计数据,FAOSTAT
全国,全国,2004,8101530,总计,FAO统计数据,FAOSTAT
全国,全国,2005,8338930,总计,FAO统计数据,FAOSTAT
全国,全国,2006,8480750,总计,FAO统计数据,FAOSTAT
全国,全国,2007,8573050,总计,FAO统计数据,FAOSTAT
全国,全国,2008,8771200,总计,FAO统计数据,FAOSTAT
全国,全国,2009,8827150,总计,FAO统计数据,FAOSTAT
全国,全国,2010,8897730,总计,FAO统计数据,FAOSTAT
全国,全国,2011,8953870,总计,FAO统计数据,FAOSTAT
全国,全国,2012,8987204,总计,FAO统计数据,FAOSTAT
全国,全国,2013,9020000,总计,FAO统计数据,FAOSTAT
全国,全国,2014,9075000,总计,FAO统计数据,FAOSTAT
全国,全国,2015,9129857,总计,FAO统计数据,FAOSTAT
全国,全国,2016,9184254,总计,FAO统计数据,FAOSTAT
全国,全国,2017,9238330,总计,FAO统计数据,FAOSTAT
全国,全国,2018,9291246,总计,FAO统计数据,FAOSTAT
全国,全国,2019,9348707,总计,FAO统计数据,FAOSTAT
全国,全国,2020,9360311,总计,FAO统计数据,FAOSTAT
全国,全国,2021,9391575,总计,FAO统计数据,FAOSTAT
全国,全国,2022,9416856,总计,FAO统计数据,FAOSTAT
全国,全国,2023,9490000,总计,中国蜂产品协会行业估算,industry_estimate
全国,全国,2024,9550000,总计,中国蜂产品协会行业估算,industry_estimate
