province,province_lat,province_lng,honey_plant,plant_type,source_category,start_month,end_month,peak_month,flowering_months,nectar_yield_kg_per_colony,honey_grade,temp_range_c,notes
广东,23.1291,113.2644,油菜,草本(农作物),主要蜜源,1,1,1,1,10~30,一等,18~25,"分布最广的蜜源植物,南方12-4月/北方5-7月"
广东,23.1291,113.2644,荔枝(早),乔木,主要蜜源,1,2,1,1,2,10~20,二等,20~28,早熟品种如三月红
广东,23.1291,113.2644,柑橘,乔木,主要蜜源,2,2,2,2,10~20,二等,22,包括柑桔橙柚等
广东,23.1291,113.2644,荔枝(中),乔木,主要蜜源,3,3,3,3,10~20,二等,20~28,中熟品种如妃子笑
广东,23.1291,113.2644,荔枝(晚),乔木,主要蜜源,4,4,4,4,10~20,二等,20~28,晚熟品种如桂味糯米糍
广东,23.1291,113.2644,龙眼,乔木,主要蜜源,3,4,3,3,4,15~25,一等,24~26,优质蜜源有明显大小年
广东,23.1291,113.2644,鸭脚木,乔木,主要蜜源,10,12,11,10,11,12,10~15,二等,8~22,鹅掌柴闽粤桂秋冬蜜源
广东,23.1291,113.2644,野桂花,灌木/小乔木,主要蜜源,11,12,12,11,12,20~30,一等,14~20,柃属植物华南秋冬优质蜜源
广西,22.817,108.3665,油菜,草本(农作物),主要蜜源,1,2,1,1,2,10~30,一等,18~25,分布最广的蜜源植物
广西,22.817,108.3665,荔枝,乔木,主要蜜源,3,3,3,3,10~20,二等,20~28,有明显大小年
广西,22.817,108.3665,龙眼,乔木,主要蜜源,3,4,4,3,4,15~25,一等,24~26,优质蜜源有明显大小年
广西,22.817,108.3665,桉树,乔木,辅助蜜源,8,8,8,8,8~15,二等,20~30,华南多种桉树泌蜜量中
广西,22.817,108.3665,野桂花,灌木/小乔木,主要蜜源,11,12,12,11,12,20~30,一等,14~20,柃属植物华南秋冬优质蜜源
云南,25.0389,102.7183,油菜,草本(农作物),主要蜜源,1,2,1,1,2,10~30,一等,18~25,分布最广的蜜源植物
云南,25.0389,102.7183,白刺花,灌木,主要蜜源,2,4,3,2,3,4,20~30,一等,25,云南高原春夏蜜源
云南,25.0389,102.7183,荞麦,草本(农作物),主要蜜源,8,8,8,8,30~40,三等,25~28,蜜色深褐味重多作越冬饲料
云南,25.0389,102.7183,野坝子,灌木,主要蜜源,9,11,10,9,10,11,15~20,一等,20~22,云南高原秋冬季重要蜜源
云南,25.0389,102.7183,野桂花,灌木/小乔木,主要蜜源,12,12,12,12,20~30,一等,14~20,柃属植物华南秋冬优质蜜源
福建,26.0745,119.2965,油菜,草本(农作物),主要蜜源,1,1,1,1,10~30,一等,18~25,分布最广的蜜源植物
福建,26.0745,119.2965,荔枝,乔木,主要蜜源,2,3,2,2,3,10~20,二等,20~28,有明显大小年
福建,26.0745,119.2965,龙眼,乔木,主要蜜源,3,4,3,3,4,15~25,一等,24~26,优质蜜源有明显大小年
福建,26.0745,119.2965,乌桕,乔木,主要蜜源,6,7,6,6,7,20~40,二等,25~32,鄂湘黔闽主要蜜源
福建,26.0745,119.2965,野桂花,灌木/小乔木,主要蜜源,10,10,10,10,20~30,一等,14~20,柃属植物华南秋冬优质蜜源
福建,26.0745,119.2965,枇杷,乔木,辅助蜜源,11,11,11,11,5~10,二等,18~22,秋冬开花蜜质优
福建,26.0745,119.2965,鸭脚木,乔木,主要蜜源,11,12,12,11,12,10~15,二等,8~22,鹅掌柴闽粤桂秋冬蜜源
四川,30.5728,104.0668,油菜,草本(农作物),主要蜜源,2,3,2,2,3,10~30,一等,18~25,分布最广的蜜源植物
四川,30.5728,104.0668,柑橘,乔木,主要蜜源,4,4,4,4,10~20,二等,22,包括柑桔橙柚等
四川,30.5728,104.0668,刺槐,乔木,主要蜜源,5,5,5,5,20~40,一等,27,洋槐蜜花期仅7-10天水白透明
四川,30.5728,104.0668,乌桕,乔木,主要蜜源,6,6,6,6,20~40,二等,25~32,鄂湘黔闽主要蜜源
四川,30.5728,104.0668,荆条,灌木,主要蜜源,7,7,7,7,20~40,一等,25~28,华北主要蜜源花期长达30天+
四川,30.5728,104.0668,荞麦,草本(农作物),主要蜜源,9,9,9,9,30~40,三等,25~28,蜜色深褐味重多作越冬饲料
江西,28.6829,115.858,油菜,草本(农作物),主要蜜源,3,3,3,3,10~30,一等,18~25,分布最广的蜜源植物
江西,28.6829,115.858,紫云英,草本,主要蜜源,3,4,3,3,4,20~50,一等,25,长江中下游主要绿肥作物
江西,28.6829,115.858,柑橘,乔木,主要蜜源,5,5,5,5,10~20,二等,22,包括柑桔橙柚等
江西,28.6829,115.858,棉花,草本(农作物),主要蜜源,7,7,7,7,50~100,三等,35~38,泌蜜量大但蜜质一般
江西,28.6829,115.858,野桂花,灌木/小乔木,主要蜜源,10,10,10,10,20~30,一等,14~20,柃属植物华南秋冬优质蜜源
湖南,28.2282,112.9388,油菜,草本(农作物),主要蜜源,2,3,2,2,3,10~30,一等,18~25,分布最广的蜜源植物
湖南,28.2282,112.9388,紫云英,草本,主要蜜源,3,3,3,3,20~50,一等,25,长江中下游主要绿肥作物
湖南,28.2282,112.9388,柑橘,乔木,主要蜜源,4,4,4,4,10~20,二等,22,包括柑桔橙柚等
湖南,28.2282,112.9388,棉花,草本(农作物),主要蜜源,7,8,7,7,8,50~100,三等,35~38,泌蜜量大但蜜质一般
湖南,28.2282,112.9388,荞麦,草本(农作物),主要蜜源,9,9,9,9,30~40,三等,25~28,蜜色深褐味重多作越冬饲料
湖北,30.5928,114.3055,油菜,草本(农作物),主要蜜源,3,3,3,3,10~30,一等,18~25,分布最广的蜜源植物
湖北,30.5928,114.3055,紫云英,草本,主要蜜源,3,4,3,3,4,20~50,一等,25,长江中下游主要绿肥作物
湖北,30.5928,114.3055,荆条,灌木,主要蜜源,5,5,5,5,20~40,一等,25~28,华北主要蜜源花期长达30天+
湖北,30.5928,114.3055,柑橘,乔木,主要蜜源,5,5,5,5,10~20,二等,22,包括柑桔橙柚等
湖北,30.5928,114.3055,棉花,草本(农作物),主要蜜源,7,8,7,7,8,50~100,三等,35~38,泌蜜量大但蜜质一般
江苏,32.0603,118.7969,油菜,草本(农作物),主要蜜源,2,4,3,2,3,4,10~30,一等,18~25,分布最广的蜜源植物
江苏,32.0603,118.7969,刺槐,乔木,主要蜜源,4,4,4,4,20~40,一等,27,洋槐蜜花期仅7-10天水白透明
江苏,32.0603,118.7969,枣树,乔木,主要蜜源,6,6,6,6,15~30,二等,26~32,枣花蜜干热天气泌蜜好
浙江,30.2741,120.1551,油菜,草本(农作物),主要蜜源,2,3,2,2,3,10~30,一等,18~25,分布最广的蜜源植物
浙江,30.2741,120.1551,紫云英,草本,主要蜜源,3,3,3,3,20~50,一等,25,长江中下游主要绿肥作物
浙江,30.2741,120.1551,柑橘,乔木,主要蜜源,4,5,4,4,5,10~20,二等,22,包括柑桔橙柚等
浙江,30.2741,120.1551,野桂花,灌木/小乔木,主要蜜源,10,10,10,10,20~30,一等,14~20,柃属植物华南秋冬优质蜜源
浙江,30.2741,120.1551,枇杷,乔木,辅助蜜源,11,12,11,11,12,5~10,二等,18~22,秋冬开花蜜质优
安徽,31.8206,117.2272,油菜,草本(农作物),主要蜜源,2,3,2,2,3,10~30,一等,18~25,分布最广的蜜源植物
安徽,31.8206,117.2272,紫云英,草本,主要蜜源,3,3,3,3,20~50,一等,25,长江中下游主要绿肥作物
安徽,31.8206,117.2272,刺槐,乔木,主要蜜源,4,4,4,4,20~40,一等,27,洋槐蜜花期仅7-10天水白透明
安徽,31.8206,117.2272,枣树,乔木,主要蜜源,5,5,5,5,15~30,二等,26~32,枣花蜜干热天气泌蜜好
安徽,31.8206,117.2272,棉花,草本(农作物),主要蜜源,7,7,7,7,50~100,三等,35~38,泌蜜量大但蜜质一般
山东,36.6516,117.1201,刺槐,乔木,主要蜜源,4,5,4,4,5,20~40,一等,27,洋槐蜜花期仅7-10天水白透明
山东,36.6516,117.1201,枣树,乔木,主要蜜源,5,5,5,5,15~30,二等,26~32,枣花蜜干热天气泌蜜好
山东,36.6516,117.1201,棉花,草本(农作物),主要蜜源,7,8,7,7,8,50~100,三等,35~38,泌蜜量大但蜜质一般
河南,34.7466,113.6254,油菜,草本(农作物),主要蜜源,3,3,3,3,10~30,一等,18~25,分布最广的蜜源植物
河南,34.7466,113.6254,刺槐,乔木,主要蜜源,4,4,4,4,20~40,一等,27,洋槐蜜花期仅7-10天水白透明
河南,34.7466,113.6254,枣花,乔木,主要蜜源,5,5,5,5,15~30,二等,26~32,枣花蜜干热天气泌蜜好
河南,34.7466,113.6254,荆条,灌木,主要蜜源,6,6,6,6,20~40,一等,25~28,华北主要蜜源花期长达30天+
